ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
14,0.216919,-0.017090,0.989868,1.013501,0.244141,0.000000,-0.183105,-0.989,-12.359,-0.986,-12.323,0.462,4.433,-0.404,5.870,3.006,3.451,93.80,96.20,1542,1569
73,0.159424,-0.016357,0.995117,1.007939,-17.333984,-75.073242,0.732422,-0.942,-9.101,-0.862,-11.708,-1.421,-7.878,-0.440,6.215,5.449,6.158,89.55,101.16,1495,1624
123,0.362793,-0.048950,0.885132,0.957848,-9.826660,-32.348633,0.854492,-3.165,-22.257,-0.951,-13.224,-3.342,-24.270,-0.823,8.869,7.698,9.013,87.30,104.01,1470,1656
173,0.299927,0.000366,1.031250,1.073980,-0.244141,-37.048340,0.061035,0.020,-16.216,-0.933,-14.485,0.210,-18.299,-0.353,8.301,7.912,8.798,87.09,103.80,1468,1653
215,0.336792,-0.036987,0.961670,1.019611,-2.075195,-18.615723,0.000000,-2.203,-19.288,-0.984,-15.318,0.982,-1.684,-0.460,7.933,7.668,8.656,87.33,103.66,1470,1652
273,0.380371,-0.033203,0.874878,0.954566,0.854492,5.554199,-0.549316,-2.173,-23.483,-0.913,-15.620,0.861,10.216,-0.487,8.061,7.531,8.483,87.47,103.48,1472,1650
323,0.345703,-0.035645,0.940430,1.002591,-0.366211,5.371094,0.366211,-2.171,-20.170,-0.824,-15.139,1.669,21.092,-0.359,6.683,6.399,7.083,88.60,102.08,1484,1634
373,0.322266,-0.027588,0.969482,1.022014,-0.488281,9.338379,0.610352,-1.630,-18.380,-0.709,-14.313,2.913,29.889,-0.177,5.593,5.569,5.959,89.43,100.96,1494,1622
425,0.317139,-0.027832,0.965454,1.016589,0.488281,21.667480,-0.488281,-1.651,-18.178,-0.555,-13.099,2.930,35.677,-0.107,4.692,4.731,4.948,90.27,99.95,1503,1611
473,0.324585,-0.018311,0.934448,0.989386,-1.647949,5.371094,-0.244141,-1.123,-19.152,-0.397,-11.831,2.346,30.360,-0.048,4.584,4.378,4.429,90.62,99.43,1507,1605
523,0.263672,-0.015869,1.004028,1.038194,6.591797,8.972168,-0.915527,-0.906,-14.713,-0.281,-10.667,4.225,32.038,0.157,3.494,3.702,3.528,91.30,98.53,1514,1595
573,0.277954,-0.031616,0.983398,1.022414,0.976562,4.699707,-0.122070,-1.841,-15.775,-0.208,-9.963,2.574,25.918,0.051,3.617,3.750,3.656,91.25,98.66,1514,1596
625,0.283325,-0.023193,0.973389,1.014050,-0.549316,2.807617,-0.549316,-1.365,-16.224,-0.148,-9.450,2.117,23.281,0.063,3.584,3.683,3.557,91.32,98.56,1515,1595
673,0.272827,-0.030029,0.987305,1.024747,1.953125,1.525879,-0.610352,-1.742,-15.441,-0.118,-9.017,2.443,21.402,0.093,3.416,3.551,3.388,91.45,98.39,1516,1593
723,0.281494,-0.018555,0.968262,1.008521,-5.004883,-2.014160,0.854492,-1.098,-16.207,-0.084,-8.818,1.688,20.501,0.078,3.460,3.592,3.426,91.41,98.43,1516,1594
773,0.291138,-0.027466,0.960815,1.004331,0.488281,2.197266,-0.244141,-1.637,-16.851,-0.060,-8.496,2.008,21.179,0.076,3.351,3.418,3.242,91.58,98.24,1518,1592
823,0.268433,-0.025269,0.977295,1.013805,-1.098633,0.915527,0.000000,-1.481,-15.354,-0.038,-8.095,2.079,23.080,0.117,2.877,3.022,2.777,91.98,97.78,1522,1586
864,0.272949,-0.023315,0.976318,1.014023,0.488281,1.892090,-0.183105,-1.368,-15.615,-0.019,-7.805,2.229,22.621,0.126,2.798,2.935,2.683,92.06,97.68,1523,1585
923,0.264771,-0.020020,0.997437,1.032174,-0.244141,4.028320,0.183105,-1.150,-14.864,0.013,-7.419,2.401,24.016,0.136,2.453,2.682,2.411,92.32,97.41,1526,1582
973,0.261841,-0.019531,1.003052,1.036849,3.723145,11.840820,-0.244141,-1.116,-14.628,0.039,-7.022,3.204,27.679,0.185,2.021,2.358,2.034,92.64,97.03,1529,1578
1023,0.270752,-0.028320,0.962158,0.999929,1.159668,4.394531,-0.427246,-1.686,-15.710,0.074,-6.519,2.397,24.792,0.136,2.082,2.153,1.876,92.85,96.88,1532,1576
1064,0.246338,-0.018311,0.973755,1.004598,0.244141,2.746582,-0.183105,-1.077,-14.194,0.082,-6.189,2.149,24.038,0.121,1.800,1.946,1.702,93.05,96.70,1534,1574
1123,0.245850,-0.019409,1.001465,1.031383,0.610352,2.502441,-0.854492,-1.110,-13.790,0.103,-5.818,2.526,23.584,0.144,1.609,1.798,1.510,93.20,96.51,1536,1572
1173,0.251831,-0.022583,0.945801,0.979014,3.173828,7.629395,-0.976562,-1.368,-14.906,0.120,-5.475,2.418,24.000,0.137,1.542,1.646,1.391,93.35,96.39,1537,1571
1223,0.252563,-0.021362,0.986084,1.018139,0.366211,0.854492,-0.183105,-1.241,-14.363,0.147,-5.199,2.187,21.986,0.124,1.468,1.576,1.323,93.42,96.32,1538,1570
1264,0.245850,-0.020874,0.977783,1.008433,0.244141,0.427246,-0.183105,-1.223,-14.111,0.150,-5.120,2.200,19.448,0.124,1.554,1.665,1.413,93.34,96.41,1537,1571
1323,0.243774,-0.018555,1.002197,1.031586,0.305176,-0.366211,-0.244141,-1.061,-13.669,0.158,-5.041,2.237,19.695,0.126,1.455,1.609,1.356,93.39,96.36,1538,1571
1373,0.244141,-0.018311,0.989868,1.019696,0.000000,1.037598,-0.488281,-1.060,-13.853,0.157,-4.963,2.082,20.343,0.117,1.397,1.537,1.301,93.46,96.30,1538,1570
1423,0.241699,-0.020264,0.987671,1.017017,1.037598,1.647949,-0.305176,-1.175,-13.748,0.155,-4.864,2.221,20.808,0.126,1.311,1.467,1.227,93.53,96.23,1539,1569
1465,0.249756,-0.020752,0.978271,1.009863,-0.122070,3.540039,-0.366211,-1.215,-14.319,0.156,-4.720,1.965,23.796,0.110,1.126,1.271,1.045,93.73,96.04,1541,1567
1523,0.245361,-0.022217,0.980469,1.010947,0.610352,1.220703,-0.305176,-1.298,-14.046,0.157,-4.469,2.199,21.729,0.124,1.098,1.199,0.955,93.80,95.95,1542,1566
1573,0.236206,-0.026001,0.985352,1.013601,5.310059,16.845703,-0.122070,-1.512,-13.476,0.157,-4.288,3.090,26.681,0.178,0.651,0.972,0.673,94.03,95.67,1545,1563
1623,0.237061,-0.020020,1.010010,1.037650,-0.061035,0.610352,-0.061035,-1.136,-13.206,0.177,-4.034,2.294,22.688,0.134,0.739,0.895,0.627,94.10,95.63,1546,1563
