ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
13,0.274658,-0.033936,0.979492,1.017838,0.366211,-0.305176,0.061035,-1.984,-15.655,-1.959,-15.745,-0.010,-0.020,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
73,0.265259,-0.032227,0.981445,1.017170,1.403809,8.728027,-0.366211,-1.881,-15.116,-1.961,-15.694,0.136,3.442,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
123,0.259399,-0.028198,0.982300,1.016364,0.366211,-0.244141,0.000000,-1.644,-14.787,-1.954,-15.582,0.048,1.389,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
173,0.264771,-0.030273,0.990112,1.025350,0.549316,-0.122070,0.000000,-1.751,-14.965,-1.955,-15.564,0.084,0.406,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
225,0.266968,-0.033936,0.978027,1.014377,0.610352,-2.197266,-0.061035,-1.987,-15.259,-1.955,-15.563,0.082,-0.411,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
273,0.275024,-0.034424,0.978516,1.017013,0.427246,0.000000,0.000000,-2.015,-15.689,-1.949,-15.619,0.028,-0.453,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
323,0.276123,-0.033691,0.977661,1.016465,0.366211,-0.305176,0.061035,-1.974,-15.763,-1.952,-15.623,-0.041,-0.009,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
373,0.276489,-0.034180,0.977173,1.016111,0.427246,-0.549316,0.122070,-2.003,-15.790,-1.953,-15.629,-0.008,-0.127,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
425,0.272217,-0.029663,0.977539,1.015167,0.671387,-5.554199,-0.305176,-1.738,-15.554,-1.964,-15.643,0.103,-1.424,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
473,0.263428,-0.032349,0.990601,1.025539,2.624512,10.986328,-0.488281,-1.870,-14.884,-1.989,-15.621,0.340,4.159,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
523,0.261963,-0.030640,0.975220,1.010256,0.854492,0.549316,0.244141,-1.800,-15.029,-1.986,-15.506,0.215,1.209,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
573,0.268188,-0.030518,0.975220,1.011884,-0.427246,3.479004,-0.610352,-1.792,-15.369,-1.985,-15.499,-0.163,1.130,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
623,0.250732,-0.027344,1.010132,1.041144,-0.183105,-0.244141,0.122070,-1.551,-13.935,-1.981,-15.510,0.030,0.033,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
673,0.272339,-0.033325,0.987549,1.024955,-0.854492,6.103516,0.305176,-1.933,-15.409,-1.979,-15.520,-0.161,2.056,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
723,0.265381,-0.032593,0.993896,1.029233,1.770020,-3.601074,-0.427246,-1.878,-14.942,-1.960,-15.353,0.670,0.521,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
773,0.272705,-0.036865,0.958252,0.996982,0.610352,-0.793457,-0.061035,-2.203,-15.874,-1.961,-15.425,-0.145,-1.313,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
823,0.263184,-0.031372,0.981323,1.016487,-1.342773,-3.356934,0.122070,-1.831,-15.006,-1.969,-15.531,-0.485,-1.607,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
864,0.271973,-0.035400,0.983887,1.021399,0.488281,-3.234863,0.366211,-2.061,-15.443,-1.975,-15.569,-0.028,-1.207,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
923,0.292725,-0.039429,0.968628,1.012661,1.953125,1.953125,0.061035,-2.331,-16.802,-1.978,-15.541,0.214,1.194,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
973,0.278198,-0.035522,0.964478,1.004427,0.976562,-1.708984,0.366211,-2.109,-16.080,-1.971,-15.505,0.110,-0.365,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1023,0.269409,-0.034302,0.980469,1.017387,1.037598,-3.173828,-0.488281,-2.004,-15.355,-1.960,-15.524,0.136,-1.103,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1064,0.276611,-0.037476,0.964844,1.004411,0.854492,-0.488281,-0.061035,-2.224,-15.986,-1.965,-15.567,-0.218,-0.836,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1123,0.275513,-0.034180,0.974731,1.013497,0.610352,-1.708984,0.366211,-2.008,-15.774,-1.966,-15.504,0.078,0.635,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1173,0.282593,-0.034912,0.966431,1.007505,0.305176,-4.577637,-0.122070,-2.069,-16.289,-1.957,-15.511,0.027,-1.349,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1223,0.280640,-0.034668,0.975464,1.015623,-0.122070,-0.732422,0.061035,-2.035,-16.041,-1.957,-15.554,-0.071,-0.489,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1264,0.278564,-0.034302,0.976074,1.015626,0.488281,0.000000,0.000000,-2.013,-15.919,-1.956,-15.569,0.015,-0.098,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1323,0.286865,-0.041382,0.959351,1.002177,2.197266,1.098633,0.244141,-2.470,-16.633,-1.961,-15.466,0.221,1.518,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1373,0.276855,-0.032959,0.971436,1.010654,0.000000,-3.601074,-0.122070,-1.943,-15.899,-1.944,-15.427,0.037,-0.848,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1423,0.270264,-0.033813,0.977051,1.014305,0.305176,-1.403809,0.000000,-1.982,-15.453,-1.943,-15.452,-0.020,-0.479,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1465,0.268799,-0.033569,0.974243,1.011202,-0.549316,-2.319336,0.061035,-1.973,-15.416,-1.956,-15.603,-0.266,-4.450,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1523,0.251099,-0.027710,0.985352,1.017220,-0.366211,-0.488281,0.000000,-1.611,-14.291,-1.955,-15.590,0.107,2.110,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1573,0.262573,-0.031494,0.991455,1.026119,0.732422,-0.122070,-0.122070,-1.819,-14.826,-1.944,-15.535,0.280,0.470,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1623,0.245239,-0.028076,0.994141,1.024327,0.061035,-5.310059,-0.427246,-1.618,-13.852,-1.932,-15.530,0.063,-1.339,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1675,0.283691,-0.036255,0.981934,1.022736,0.366211,-0.488281,0.061035,-2.115,-16.104,-1.897,-15.674,2.355,-1.269,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
1723,0.271362,-0.035400,0.976440,1.014064,1.220703,12.512207,-0.305176,-2.076,-15.521,-1.843,-15.647,0.735,4.003,0.000,0.000,0.000,0.000,95.00,95.00,1556,1556
