ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
14,0.269653,-0.026123,0.976929,1.013797,0.244141,0.000000,0.000000,-1.532,-15.425,-1.432,-15.391,-0.073,0.940,-0.650,5.000,2.392,2.750,93.80,96.20,1542,1569
73,0.265381,-0.005615,0.965454,1.001279,-28.320312,-62.194824,0.244141,-0.333,-15.369,-1.349,-15.333,-4.080,-17.643,-0.809,5.000,4.314,4.981,90.69,99.98,1508,1611
123,0.351196,-0.009155,0.981323,1.042314,-2.990723,-26.306152,0.793457,-0.535,-19.691,-1.497,-17.104,-1.193,-26.770,-0.671,5.000,4.253,5.000,90.75,100.00,1508,1611
173,0.319580,-0.025879,0.983887,1.034811,-4.394531,-8.178711,0.366211,-1.507,-17.989,-1.510,-17.766,-1.050,-5.840,-0.741,5.000,4.282,5.000,90.72,100.00,1508,1611
215,0.340088,-0.025635,0.937134,0.997265,-3.662109,-9.094238,-0.305176,-1.567,-19.939,-1.543,-17.983,-0.919,-3.229,-0.752,5.000,4.269,5.000,90.73,100.00,1508,1611
273,0.338745,-0.015259,0.940796,1.000039,-1.770020,0.732422,-0.793457,-0.929,-19.800,-1.557,-18.090,-0.219,1.637,-0.667,5.000,4.289,5.000,90.71,100.00,1508,1611
323,0.340698,-0.026367,0.937134,0.997492,0.854492,4.821777,-0.061035,-1.612,-19.972,-1.559,-18.047,-0.152,4.682,-0.716,5.000,4.262,5.000,90.74,100.00,1508,1611
373,0.330322,-0.020996,0.956055,1.011728,-1.342773,2.807617,-0.122070,-1.258,-19.056,-1.533,-17.858,-0.506,6.247,-0.701,5.000,4.282,5.000,90.72,100.00,1508,1611
415,0.328979,-0.024292,0.964600,1.019446,0.000000,-0.915527,0.183105,-1.443,-18.827,-1.516,-17.698,-0.519,4.942,-0.708,5.000,4.290,5.000,90.71,100.00,1508,1611
473,0.329224,-0.019165,0.952515,1.007988,-1.037598,-3.662109,0.061035,-1.153,-19.063,-1.510,-17.646,-0.487,2.203,-0.683,5.000,4.296,5.000,90.70,100.00,1508,1611
523,0.322754,-0.021606,0.977783,1.029901,-3.112793,-3.784180,-0.061035,-1.266,-18.263,-1.497,-17.594,-0.583,3.841,-0.693,5.000,4.309,5.000,90.69,100.00,1508,1611
573,0.309692,-0.023071,0.968384,1.016961,5.737305,11.169434,-0.183105,-1.365,-17.730,-1.487,-17.516,0.963,7.496,-0.618,5.000,4.332,5.000,90.67,100.00,1507,1611
625,0.327026,-0.030029,0.959839,1.014465,0.915527,0.244141,-0.244141,-1.792,-18.806,-1.495,-17.481,0.107,4.558,-0.699,5.000,4.288,5.000,90.71,100.00,1508,1611
673,0.331787,-0.030029,0.953003,1.009554,0.488281,0.061035,0.061035,-1.805,-19.187,-1.483,-17.406,-0.314,4.204,-0.706,5.000,4.302,5.000,90.70,100.00,1508,1611
723,0.332642,-0.028320,0.957642,1.014165,0.183105,-0.061035,-0.061035,-1.694,-19.147,-1.471,-17.342,-0.357,4.189,-0.696,5.000,4.306,5.000,90.69,100.00,1508,1611
773,0.329224,-0.026855,0.960205,1.015433,0.122070,-0.244141,-0.061035,-1.602,-18.918,-1.461,-17.286,-0.350,4.220,-0.684,5.000,4.316,5.000,90.68,100.00,1508,1611
825,0.328003,-0.027466,0.957153,1.012167,0.427246,1.098633,-0.305176,-1.644,-18.909,-1.454,-17.239,-0.294,4.487,-0.681,5.000,4.317,5.000,90.68,100.00,1508,1611
873,0.346191,-0.035767,0.941772,1.004023,-2.563477,-3.845215,0.000000,-2.175,-20.170,-1.464,-17.240,-1.250,2.075,-0.788,5.000,4.260,5.000,90.74,100.00,1508,1611
923,0.334595,-0.045776,0.945312,1.003825,5.249023,1.525879,-0.671387,-2.772,-19.470,-1.458,-17.153,-0.075,3.689,-0.757,5.000,4.268,5.000,90.73,100.00,1508,1611
973,0.323730,-0.023804,0.969604,1.022497,0.183105,-0.183105,0.122070,-1.406,-18.458,-1.438,-17.168,-0.198,3.842,-0.653,5.000,4.334,5.000,90.67,100.00,1507,1611
1023,0.329224,-0.026611,0.965210,1.020160,0.061035,-0.183105,-0.061035,-1.579,-18.827,-1.435,-17.150,-0.316,4.222,-0.670,5.000,4.329,5.000,90.67,100.00,1507,1611
1064,0.328125,-0.026611,0.965454,1.020037,-0.183105,-2.319336,0.366211,-1.579,-18.765,-1.431,-17.129,-0.450,3.624,-0.676,5.000,4.326,5.000,90.67,100.00,1507,1611
