ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
14,0.242310,-0.021240,0.977905,1.007702,0.183105,-0.549316,-0.305176,-1.244,-13.914,-1.232,-13.556,-0.009,-0.172,-1.205,14.776,7.464,8.789,92.60,97.40,1529,1582
73,0.130005,-0.005859,1.063354,1.071288,-17.883301,-150.329590,-0.915527,-0.316,-6.970,-1.232,-14.099,-2.220,-52.611,-1.329,18.471,15.934,18.386,79.07,111.80,1379,1742
123,0.396729,-0.064087,0.942505,1.024605,7.507324,-192.810059,3.234863,-3.890,-22.780,-1.410,-19.571,-1.768,-139.084,-2.078,30.000,26.175,28.515,68.82,123.52,1265,1872
173,0.640869,0.003784,0.744141,0.982076,-12.145996,-158.569336,0.305176,0.291,-40.735,-1.611,-28.453,-1.243,-165.133,-0.504,30.000,28.792,29.973,66.21,124.97,1236,1889
215,0.642944,-0.041504,0.778564,1.010575,-10.314941,-36.254883,-1.586914,-3.051,-39.510,-2.035,-33.970,-1.755,-88.868,-2.790,30.000,26.894,29.999,68.11,125.00,1257,1889
273,0.590210,-0.032471,0.910645,1.085668,-0.305176,-4.516602,-1.037598,-2.042,-32.932,-2.221,-36.768,0.782,-18.678,-2.172,30.000,27.784,30.000,67.22,125.00,1247,1889
323,0.668213,-0.042358,0.732300,0.992253,2.319336,-3.662109,-0.305176,-3.310,-42.332,-2.381,-37.819,-0.594,-14.317,-3.107,30.000,27.107,30.000,67.89,125.00,1254,1889
373,0.642944,-0.034790,0.795044,1.023075,0.061035,-1.525879,-0.427246,-2.506,-38.935,-2.486,-38.253,-0.120,-6.113,-2.595,30.000,27.409,30.000,67.59,125.00,1251,1889
425,0.639404,-0.038086,0.789917,1.016984,1.098633,1.342773,-0.671387,-2.760,-38.956,-2.596,-38.506,0.127,-2.425,-2.800,30.000,27.375,30.000,67.62,125.00,1251,1889
473,0.636597,-0.042236,0.808472,1.029886,1.403809,7.202148,-0.305176,-2.991,-38.179,-2.702,-38.567,-0.133,3.373,-2.985,30.000,27.155,30.000,67.84,125.00,1254,1889
523,0.649536,-0.041138,0.778198,1.014486,-0.366211,-9.216309,-0.488281,-3.026,-39.811,-2.761,-38.454,-0.090,-4.481,-3.045,30.000,27.120,30.000,67.88,125.00,1254,1889
573,0.630859,-0.033691,0.823364,1.037809,0.488281,0.122070,-0.549316,-2.343,-37.436,-2.829,-38.653,0.327,-1.039,-2.681,30.000,27.302,30.000,67.70,125.00,1252,1889
