ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd
27,12504,14898,11942,0,0,-2.76889,-4.60764,11.21444,-0.098004,0.399474,0.096939,-22.663,13.785,-0.047,0.0025,0.0009,0.0329,0.0000,0.0000,0.0002,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
94,18570,17425,14437,0,0,-3.35428,-3.10289,8.01220,-0.280165,0.974717,0.238619,-22.479,19.760,-1.999,0.0175,-0.0050,0.0675,0.0009,-0.0003,0.0044,-0.0003328,-0.0004996,0.0000191,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
139,27966,17512,14504,0,0,-3.45244,-4.31914,7.43041,-0.528371,0.327036,0.238619,-23.961,22.204,-1.898,0.0269,-0.0151,0.0253,0.0025,-0.0003,0.0063,0.0015090,-0.0010571,-0.0000314,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
179,22303,17465,14474,0,0,-3.53384,-3.69665,7.70574,-0.639159,0.231162,0.140615,-25.627,22.650,-0.456,0.0321,-0.0198,0.0084,0.0035,-0.0006,0.0071,0.0032900,0.0005819,-0.0001791,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
243,17608,17452,14467,0,0,-3.55659,-4.60764,8.23486,-0.655138,0.024501,0.062851,-27.341,22.885,1.229,0.0567,-0.0347,-0.0022,0.0066,-0.0040,0.0068,0.0022940,0.0037528,-0.0004812,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
289,28136,17499,14494,0,0,-2.98916,-5.21697,7.70454,-0.566721,0.350472,0.063916,-27.906,24.572,5.922,0.1513,-0.1060,-0.0072,0.0173,-0.0119,0.0066,0.0101171,0.0119800,-0.0016434,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
329,22299,17473,14484,0,0,-4.29520,-5.18225,7.35499,-0.439954,0.449542,0.185356,-29.011,26.737,8.776,0.2222,-0.1501,-0.0014,0.0329,-0.0183,0.0065,0.0244730,0.0131884,-0.0025778,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
392,17628,17570,14566,0,0,-4.47716,-4.81354,7.03656,-0.278034,0.245011,0.302535,-28.752,30.710,16.746,0.4351,-0.2844,-0.0429,0.0819,-0.0445,0.0047,0.0535492,0.0175949,-0.0052979,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
438,28103,17605,14563,0,0,-4.53103,-4.87340,6.28358,-0.187487,0.409062,0.362190,-26.746,33.679,23.851,0.6516,-0.4153,-0.0729,0.1377,-0.0812,0.0016,0.0674515,0.0274452,-0.0078787,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
478,22215,17591,14566,0,0,-5.21697,-5.31273,5.74369,-0.077764,0.157659,0.366451,-23.867,37.340,34.529,1.0158,-0.5997,-0.1141,0.2346,-0.1309,-0.0034,0.1148832,0.0266456,-0.0123581,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
