ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
13,0.233032,0.477661,1.071289,1.195878,-81.542969,51.147461,-13.366699,24.031,-11.237,24.610,-11.087,-18.908,12.212,25.794,11.354,20.431,-7.942,92.40,87.60,1473,1473
73,0.131592,0.321899,1.017578,1.075361,-92.224121,97.167969,-28.503418,17.554,-7.029,20.711,-7.966,-76.967,73.983,17.641,4.103,23.679,-13.446,106.80,76.55,1313,1351
123,-0.000244,0.085571,0.949341,0.953190,-78.002930,87.768555,-46.813965,5.151,0.015,15.586,-3.151,-88.482,90.892,11.692,-2.096,11.507,-13.758,101.51,76.24,1372,1347
173,-0.137817,0.072998,0.849365,0.863564,-50.415039,64.270020,-50.781250,4.912,9.183,10.999,2.186,-66.154,80.002,7.986,-7.010,2.294,-14.792,92.29,75.21,1475,1336
223,-0.225952,-0.043213,0.883301,0.912766,-54.382324,43.945312,-37.902832,-2.801,14.332,6.867,6.777,-62.379,61.447,3.178,-11.329,-6.679,-14.673,83.32,75.33,1574,1337
264,-0.250977,-0.049438,0.852173,0.889737,-40.954590,35.095215,-12.268066,-3.320,16.384,3.758,9.665,-55.014,48.908,0.017,-14.010,-12.988,-14.192,77.01,75.81,1644,1342
323,-0.404053,-0.259277,0.918701,1.036579,-2.502441,25.390625,7.080078,-15.760,22.942,-0.526,13.305,-29.007,38.006,-5.772,-19.006,-23.413,-13.193,66.59,76.81,1760,1353
373,-0.322510,-0.160156,0.895874,0.965532,1.586914,17.761230,19.042969,-10.136,19.513,-2.273,15.543,-9.551,25.959,-4.194,-19.107,-23.680,-14.759,66.32,75.24,1763,1336
423,-0.346313,-0.260864,0.879761,0.980797,0.610352,28.869629,14.160156,-16.516,20.677,-3.116,17.213,-3.452,28.916,-5.995,-21.126,-25.929,-15.393,64.07,74.61,1788,1329
473,-0.366333,-0.106812,0.871948,0.951789,-3.723145,13.122559,5.004883,-6.984,22.637,-3.800,19.277,-6.673,27.704,-5.155,-23.447,-28.619,-18.087,61.38,71.91,1818,1299
514,-0.325928,-0.149292,0.865112,0.936449,-11.657715,11.962891,-6.774902,-9.791,20.368,-4.437,20.301,-12.808,18.285,-6.461,-23.246,-29.537,-17.292,60.46,72.71,1828,1308
573,-0.491943,-0.251587,0.890747,1.048205,-41.442871,30.639648,-16.113281,-15.772,27.990,-6.401,22.092,-27.212,31.977,-11.761,-28.069,-37.270,-16.814,53.46,73.19,1906,1313
623,-0.417603,-0.153198,0.915894,1.018196,-9.948730,-13.610840,-11.962891,-9.496,24.214,-8.929,23.535,-27.242,12.490,-11.448,-26.623,-38.821,-15.302,51.18,74.70,1931,1330
673,-0.541382,-0.174194,0.914307,1.076752,23.559570,-2.990723,-7.263184,-10.787,30.185,-10.109,23.883,-4.145,0.745,-11.476,-28.605,-39.916,-16.097,50.08,73.90,1944,1321
715,-0.440186,-0.099243,0.941895,1.044403,-8.544922,-5.187988,2.746582,-6.015,24.927,-9.911,24.028,-3.275,1.305,-9.849,-26.567,-36.447,-16.996,53.55,73.00,1905,1311
773,-0.333008,-0.135254,0.923218,0.990716,13.732910,-18.554687,-9.765625,-8.335,19.641,-10.064,23.624,0.936,-9.309,-10.584,-24.660,-35.726,-14.332,54.27,75.67,1897,1341
823,-0.357056,-0.103394,0.882202,0.957319,7.446289,-16.418457,-20.019531,-6.685,21.899,-9.560,22.835,4.732,-10.426,-9.472,-24.184,-33.617,-14.911,56.38,75.09,1874,1334
873,-0.351807,-0.182983,0.926880,1.008145,13.488770,-21.423340,-20.629883,-11.168,20.424,-9.623,22.006,3.340,-13.477,-10.524,-23.001,-33.562,-12.990,56.44,77.01,1873,1356
923,-0.454590,-0.236694,0.906128,1.041030,6.713867,-19.958496,-7.324219,-14.639,25.892,-9.713,21.300,5.232,-13.405,-11.709,-23.899,-34.339,-12.581,55.66,77.42,1882,1360
964,-0.346191,-0.083984,0.899536,0.967506,4.821777,-15.441895,0.610352,-5.334,20.966,-9.325,20.648,4.028,-13.264,-9.097,-21.871,-31.112,-12.772,58.89,77.23,1846,1358
