ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
13,0.474121,0.284912,0.872803,1.033320,-35.888672,2.197266,21.484375,18.078,-27.312,15.388,-23.814,-9.243,0.484,17.121,27.204,24.379,5.546,92.40,92.40,1473,1527
73,0.492432,0.180542,0.884277,1.028120,-26.855469,14.892578,33.325195,11.539,-28.618,13.845,-24.378,-29.594,6.608,12.480,27.838,41.068,14.761,106.80,104.76,1313,1664
123,0.485596,0.122437,0.915649,1.043651,-48.522949,16.174316,29.479980,7.616,-27.729,11.318,-24.273,-43.025,14.585,8.463,26.895,36.080,17.794,118.80,107.79,1180,1698
173,0.395142,0.100464,0.814941,0.911241,-46.936035,18.249512,13.732910,7.028,-25.698,8.207,-23.765,-52.232,14.195,5.400,25.756,31.284,19.989,121.28,109.99,1152,1722
214,0.397949,0.036743,0.814331,0.907110,-48.706055,72.448730,0.366211,2.583,-26.021,5.841,-22.639,-53.732,42.826,2.068,23.252,26.193,20.727,116.19,110.73,1209,1730
273,0.068115,-0.095337,1.001465,1.008296,-49.133301,67.871094,-24.597168,-5.438,-3.874,2.548,-17.994,-53.429,70.231,-0.547,15.471,16.319,16.411,106.32,106.41,1319,1682
323,0.274658,0.001099,0.922241,0.962272,-56.091309,59.814453,-24.780273,0.068,-16.584,0.307,-14.333,-55.902,60.698,-3.184,12.240,9.962,15.338,99.96,105.34,1389,1670
373,0.127441,-0.013428,0.944336,0.952991,-47.485352,44.250488,-17.761230,-0.815,-7.685,-1.818,-11.297,-53.657,54.924,-5.060,9.023,4.768,14.184,94.77,104.18,1447,1658
423,0.132324,-0.031738,1.039795,1.048661,-45.593262,-18.188477,6.530762,-1.748,-7.249,-4.037,-9.340,-52.143,17.966,-7.411,9.087,1.861,15.930,91.86,105.93,1479,1677
464,0.152832,-0.049683,0.963379,0.976691,-49.926758,-40.649414,29.479980,-2.952,-9.003,-6.025,-9.621,-57.626,-16.705,-9.926,11.391,1.481,20.385,91.48,110.39,1484,1727
