ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd
31,12515,17958,14956,0,0,9.62948,-0.04669,0.99479,0.009587,-0.009587,0.007457,-2.683,-84.103,-0.027,-0.0000,-0.0000,-0.0016,-0.0000,0.0000,-0.0000,0.0094164,-0.0109390,0.0078062,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,7,40.4365358,-86.8936650,148.400,0.111,-0.041,0.000
86,30720,17823,14776,0,0,9.63068,-0.04190,0.99718,0.009587,-0.008522,0.008522,-2.539,-84.102,-0.021,-0.0000,0.0001,-0.0085,0.0000,0.0000,-0.0003,0.0093288,-0.0109432,0.0078062,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,7,40.4365358,-86.8936650,148.400,0.111,-0.041,0.000
136,31680,18346,15305,0,0,9.63786,-0.06225,0.99359,0.008522,-0.008522,0.008522,-2.690,-84.105,-0.003,-0.0000,-0.0001,-0.0145,-0.0000,0.0000,-0.0009,0.0098138,-0.0109290,0.0078062,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,7,40.4365358,-86.8936653,148.700,0.010,-0.004,0.000
197,17741,17779,14772,0,0,9.63307,-0.04549,0.99000,0.009587,-0.008522,0.007457,-2.709,-84.100,0.010,-0.0000,-0.0001,-0.0219,-0.0000,0.0000,-0.0020,0.0098916,-0.0109079,0.0078061,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,7,40.4365358,-86.8936653,148.700,0.010,-0.004,0.000
255,35381,22205,15431,0,0,9.63906,-0.04669,0.99479,0.009587,-0.008522,0.007457,-2.731,-84.091,-0.002,-0.0000,-0.0000,-0.0284,-0.0000,0.0000,-0.0033,0.0101098,-0.0109221,0.0078061,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365348,-86.8936660,148.800,0.072,-0.027,0.000
285,28535,24197,21197,0,0,9.63427,-0.04788,0.98881,0.009587,-0.008522,0.008522,-2.747,-84.092,0.011,0.0000,-0.0000,-0.0319,-0.0000,0.0000,-0.0042,0.0101481,-0.0108660,0.0078061,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365348,-86.8936660,148.800,0.072,-0.027,0.000
333,29487,18292,15242,0,0,9.63666,-0.04788,0.99718,0.009587,-0.009587,0.007457,-2.721,-84.091,-0.002,0.0000,-0.0000,-0.0386,-0.0000,0.0000,-0.0061,0.0099603,-0.0108253,0.0078061,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365348,-86.8936660,148.800,0.072,-0.027,0.000
397,18950,18049,15063,0,0,9.63906,-0.03950,0.99000,0.009587,-0.008522,0.007457,-2.748,-84.090,-0.009,-0.0000,0.0000,-0.0465,-0.0001,0.0000,-0.0088,0.0104586,-0.0107235,0.0078059,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365335,-86.8936662,149.000,0.072,-0.027,0.000
453,30473,19252,15386,0,0,9.62708,-0.05267,0.99240,0.009587,-0.008522,0.007457,-2.806,-84.085,-0.008,0.0000,0.0001,-0.0534,-0.0001,0.0001,-0.0116,0.0115034,-0.0106794,0.0078054,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365322,-86.8936660,149.200,0.019,-0.007,0.000
484,25329,24026,21015,0,0,9.62708,-0.04549,0.98761,0.009587,-0.008522,0.007457,-2.787,-84.087,-0.015,0.0001,0.0001,-0.0567,-0.0001,0.0001,-0.0130,0.0112036,-0.0105802,0.0078055,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365322,-86.8936660,149.200,0.019,-0.007,0.000
