ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd
31,12504,17876,14914,0,0,-0.45849,1.52750,8.07444,-1.571265,1.274056,-0.149137,9.917,2.509,0.725,-0.0012,0.0014,-0.0189,-0.0001,0.0001,-0.0001,-0.0001014,-0.0000785,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
85,30166,17963,14922,0,0,1.96085,1.67474,10.36929,-1.164334,-0.208792,-0.535828,8.135,-1.251,2.512,0.0202,0.0157,-0.0223,-0.0001,0.0006,-0.0021,-0.0016787,0.0040018,-0.0001590,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
133,28533,18124,15095,0,0,2.94128,0.73861,9.82461,0.384560,-0.204531,-0.957673,7.321,-7.665,3.270,0.0273,0.0235,-0.0020,-0.0015,0.0022,-0.0027,0.0016464,0.0148117,-0.0002193,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
189,16352,15183,12192,0,0,3.56257,-0.43096,12.00932,-0.747816,0.481500,-1.947303,4.643,-8.440,-1.017,0.0988,-0.0241,0.1058,-0.0002,0.0044,-0.0001,0.0075913,0.0220052,-0.0002529,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
240,24215,20645,12587,0,0,3.37223,-0.44412,11.13064,0.666856,0.472977,-2.342516,6.120,-6.524,-6.873,0.1989,-0.1141,0.2377,0.0067,0.0012,0.0084,0.0075913,0.0220052,-0.0002529,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
288,29804,18214,15157,0,0,1.16837,0.52912,8.95192,1.699097,-0.323840,-2.047438,8.114,-7.269,-10.882,0.1873,-0.0607,0.2280,0.0136,0.0066,0.0213,0.0258696,0.0283065,-0.0007907,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
331,19053,18098,15091,0,0,1.88543,1.56940,9.95629,0.339819,-0.323840,-1.680987,10.289,-7.823,-15.550,0.1840,-0.0681,0.2229,0.0205,0.0022,0.0308,0.0228917,0.0307283,-0.0006191,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
399,19054,17602,14578,0,0,1.97163,1.96923,10.49259,1.129180,-0.560329,-1.364604,14.597,-8.010,-27.902,0.2099,-0.1357,0.2979,0.0362,-0.0040,0.0478,0.0470781,0.0412118,0.0021548,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
445,27239,18302,15305,0,0,1.80882,2.51990,8.27795,1.957956,-0.806405,-0.825580,19.084,-9.057,-35.078,0.2303,-0.2023,0.2686,0.0497,-0.0192,0.0594,0.0552621,0.0456028,0.0044095,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
491,25105,15344,12277,0,0,2.34871,2.55222,7.17542,-0.110788,-0.699879,-0.706270,21.410,-9.884,-42.440,0.2701,-0.3112,0.1807,0.0664,-0.0461,0.0686,0.0584321,0.0503622,0.0069812,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
554,36868,25391,22324,0,0,2.11408,3.14478,7.73088,0.361125,-0.521980,-0.417584,21.900,-10.964,-46.009,0.2897,-0.3528,0.1007,0.0816,-0.0697,0.0750,0.0576542,0.0551715,0.0077513,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
584,31603,23273,20243,0,0,1.69988,3.33752,7.14430,-0.023436,-0.485761,-0.093743,22.065,-12.087,-45.511,0.2823,-0.3287,0.0483,0.0862,-0.0761,0.0784,0.0521020,0.0577124,0.0069208,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
631,23497,18316,15256,0,0,1.79206,3.26809,7.38372,-0.482565,-0.498544,0.229032,21.575,-14.118,-43.077,0.2621,-0.2617,-0.0311,0.0928,-0.0778,0.0810,0.0439627,0.0565907,0.0050887,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
685,26287,18077,14998,0,0,2.79164,3.50152,9.29070,-0.362190,-0.351537,0.369647,20.203,-15.783,-41.834,0.2572,-0.2437,-0.0126,0.1074,-0.0884,0.0800,0.0441584,0.0515329,0.0049515,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
746,19201,18193,15175,0,0,3.76847,3.23696,9.01896,-0.393083,-0.216249,0.102265,18.608,-18.142,-41.458,0.2476,-0.2339,0.0143,0.1150,-0.0966,0.0810,0.0428066,0.0684273,0.0036118,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
795,25059,17729,14676,0,0,3.30041,3.50751,9.72405,-1.206945,-0.231162,-0.266316,16.765,-19.052,-41.552,0.2404,-0.1973,0.0626,0.1209,-0.0979,0.0841,0.0367961,0.0707661,0.0025644,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
843,29722,18316,15242,0,0,2.86466,2.87424,8.91361,-2.267948,0.234358,-0.383495,12.178,-18.758,-41.651,0.2334,-0.1564,0.0794,0.1246,-0.0995,0.0890,0.0191493,0.0666019,0.0022019,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
