ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set
30,12520,17318,14396,0,0,1.58855,-0.90261,9.51216,0.035154,0.003196,0.003196,-5.575,-9.472,-0.025,-0.0001,0.0003,-0.0015,-0.0000,0.0000,-0.0000,0.0068721,-0.0050725,0.0061551,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365314,-86.8936990,154.033,0.010,-0.050,-0.010,3,0.63,0.78,0.09,0
65,17632,34607,26769,0,0,1.63763,-0.91818,9.50618,-0.063916,-0.025566,0.013848,-5.589,-9.603,-0.003,0.0001,0.0004,-0.0035,-0.0000,0.0000,-0.0001,0.0068585,-0.0050478,0.0061551,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365314,-86.8936990,154.033,0.010,-0.050,-0.010,3,0.63,0.78,0.09,0
95,34840,29276,26294,0,0,1.74896,-1.18154,9.51695,-0.082025,-0.031958,0.014914,-6.194,-9.871,0.049,0.0018,-0.0027,-0.0056,0.0000,-0.0000,-0.0002,0.0072660,-0.0048355,0.0061549,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365314,-86.8936990,154.033,0.010,-0.050,-0.010,3,0.63,0.78,0.09,0
125,29550,29416,26434,0,0,1.73819,-1.33357,9.51815,-0.031958,-0.017044,0.010653,-6.683,-9.978,0.066,0.0022,-0.0046,-0.0068,0.0001,0.0000,-0.0004,0.0080585,-0.0046691,0.0061550,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365314,-86.8936990,154.033,0.010,-0.050,-0.010,3,0.63,0.78,0.09,0
154,30227,29007,21117,0,0,1.66277,-1.29167,9.54209,0.080960,0.017044,-0.002131,-6.783,-9.914,0.042,0.0020,-0.0058,-0.0079,0.0001,0.0000,-0.0006,0.0087702,-0.0047586,0.0061547,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365316,-86.8936987,154.094,0.040,0.010,-0.020,3,0.63,0.78,0.14,0
178,29237,22953,15116,0,0,1.61968,-1.08457,9.53970,0.093743,0.020240,-0.002131,-6.612,-9.823,0.021,0.0018,-0.0057,-0.0099,0.0003,-0.0002,-0.0009,0.0086552,-0.0049846,0.0061538,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365316,-86.8936987,154.094,0.040,0.010,-0.020,3,0.63,0.78,0.14,0
209,23178,31020,23245,0,0,1.62327,-0.92775,9.50378,0.038350,0.004261,0.004261,-6.423,-9.787,0.012,0.0019,-0.0060,-0.0128,0.0003,-0.0006,-0.0012,0.0078145,-0.0051229,0.0061543,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365316,-86.8936987,154.094,0.040,0.010,-0.020,3,0.63,0.78,0.14,0
245,49707,17727,14819,0,0,1.74657,-1.18154,9.51216,-0.093743,-0.035154,0.017044,-6.771,-9.930,0.067,0.0036,-0.0073,-0.0160,0.0003,-0.0008,-0.0019,0.0082335,-0.0045919,0.0061527,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365316,-86.8936987,154.094,0.040,0.010,-0.020,3,0.63,0.78,0.14,0
274,18022,23872,20923,0,0,1.75256,-1.31681,9.53730,-0.056459,-0.024501,0.011718,-6.967,-9.995,0.082,0.0031,-0.0058,-0.0163,0.0002,-0.0005,-0.0022,0.0094325,-0.0041622,0.0061523,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365316,-86.8936987,154.094,0.040,0.010,-0.020,3,0.63,0.78,0.14,0
298,29110,23129,15305,0,0,1.68911,-1.29766,9.54927,0.056459,0.009587,0.000000,-6.984,-9.970,0.065,0.0031,-0.0062,-0.0170,0.0003,-0.0003,-0.0026,0.0105342,-0.0042036,0.0061531,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,1,8,40.4365316,-86.8936987,154.094,0.040,0.010,-0.020,3,0.63,0.78,0.14,0
