ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set
30,12516,17238,14351,0,0,-0.33519,2.61207,9.49540,-0.007457,-0.008522,-0.010653,15.394,1.954,-0.006,0.0000,-0.0000,0.0006,0.0000,-0.0000,0.0000,-0.0053608,-0.0090926,-0.0104630,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
65,17522,34271,26306,0,0,-0.33758,2.56778,9.51097,-0.004261,-0.009587,-0.009587,15.261,1.957,-0.005,0.0000,-0.0002,0.0015,0.0000,-0.0000,0.0000,-0.0053312,-0.0090936,-0.0104630,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
94,35128,28181,20249,0,0,-0.29568,2.63362,9.49660,-0.003196,-0.008522,-0.009587,15.340,1.884,-0.023,0.0006,0.0004,0.0033,0.0000,-0.0000,0.0001,-0.0054046,-0.0090186,-0.0104630,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
116,28401,21938,18970,0,0,-0.28970,2.66594,9.49181,-0.004261,-0.008522,-0.010653,15.426,1.837,-0.036,0.0009,0.0007,0.0049,0.0000,-0.0000,0.0002,-0.0055621,-0.0089268,-0.0104630,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
147,22152,30717,22796,0,0,-0.32801,2.64679,9.49062,-0.006392,-0.008522,-0.011718,15.457,1.851,-0.034,0.0009,0.0007,0.0061,0.0000,-0.0000,0.0003,-0.0056481,-0.0089642,-0.0104630,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
175,30926,27947,19962,0,0,-0.34237,2.63123,9.49062,-0.006392,-0.008522,-0.010653,15.462,1.875,-0.028,0.0007,0.0008,0.0076,0.0001,0.0000,0.0006,-0.0056769,-0.0090632,-0.0104630,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
198,28153,22355,19376,0,0,-0.32202,2.60489,9.49301,-0.006392,-0.009587,-0.011718,15.444,1.874,-0.030,0.0007,0.0007,0.0088,0.0001,0.0000,0.0008,-0.0055776,-0.0090624,-0.0104630,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
227,23034,28180,20338,0,0,-0.31244,2.60010,9.50498,-0.006392,-0.008522,-0.009587,15.424,1.867,-0.031,0.0007,0.0007,0.0100,0.0001,0.0001,0.0010,-0.0054429,-0.0090074,-0.0104630,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
258,37086,22834,19966,0,0,-0.30765,2.60729,9.50019,-0.003196,-0.007457,-0.009587,15.418,1.860,-0.031,0.0008,0.0006,0.0118,0.0001,0.0002,0.0014,-0.0053490,-0.0089142,-0.0104630,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
280,27383,17573,14619,0,0,-0.28491,2.64559,9.49540,-0.003196,-0.008522,-0.010653,15.438,1.838,-0.037,0.0009,0.0006,0.0133,0.0000,0.0001,0.0017,-0.0055337,-0.0086562,-0.0104629,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
318,17785,37609,29702,0,0,-0.29329,2.66116,9.48463,-0.007457,-0.008522,-0.010653,15.461,1.825,-0.042,0.0008,0.0004,0.0142,0.0000,0.0000,0.0020,-0.0058360,-0.0084859,-0.0104629,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
353,37795,34436,31445,0,0,-0.33639,2.62883,9.49421,-0.008522,-0.008522,-0.011718,15.458,1.839,-0.041,0.0005,0.0004,0.0161,0.0001,0.0000,0.0026,-0.0058673,-0.0086778,-0.0104628,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
381,34618,28404,25456,0,0,-0.33160,2.59531,9.50498,-0.005326,-0.009587,-0.010653,15.440,1.846,-0.039,0.0004,0.0001,0.0179,0.0002,0.0001,0.0032,-0.0055644,-0.0088248,-0.0104628,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
410,29306,27974,25010,0,0,-0.29808,2.60968,9.50139,-0.003196,-0.009587,-0.010653,15.435,1.834,-0.043,0.0004,0.0001,0.0194,0.0001,0.0002,0.0037,-0.0054179,-0.0086334,-0.0104628,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
438,28181,27897,20108,0,0,-0.30646,2.63482,9.49062,-0.004261,-0.009587,-0.010653,15.445,1.828,-0.045,0.0005,0.0001,0.0207,0.0001,0.0001,0.0043,-0.0055579,-0.0085436,-0.0104628,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
464,35668,17922,14640,0,0,-0.33279,2.63123,9.49062,-0.005326,-0.008522,-0.010653,15.450,1.838,-0.042,0.0003,0.0002,0.0224,0.0002,0.0001,0.0050,-0.0056537,-0.0087471,-0.0104628,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
492,18147,27947,20115,0,0,-0.33279,2.62883,9.49062,-0.007457,-0.009587,-0.010653,15.452,1.846,-0.040,0.0004,0.0001,0.0233,0.0002,0.0001,0.0054,-0.0057170,-0.0089302,-0.0104629,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
520,28158,27951,20071,0,0,-0.31244,2.60729,9.50618,-0.007457,-0.009587,-0.010653,15.438,1.843,-0.041,0.0004,0.0001,0.0248,0.0002,0.0002,0.0061,-0.0055044,-0.0088735,-0.0104628,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
543,28166,22255,19284,0,0,-0.30646,2.59531,9.49899,-0.004261,-0.008522,-0.010653,15.426,1.838,-0.043,0.0005,0.0000,0.0261,0.0002,0.0003,0.0068,-0.0051945,-0.0087554,-0.0104628,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
572,22674,28289,20424,0,0,-0.32801,2.61207,9.50019,-0.003196,-0.008522,-0.009587,15.424,1.844,-0.040,0.0005,0.0001,0.0273,0.0003,0.0003,0.0074,-0.0050881,-0.0088891,-0.0104628,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
610,28973,37574,29769,0,0,-0.32801,2.66235,9.48583,-0.002131,-0.009587,-0.010653,15.451,1.848,-0.039,0.0004,0.0002,0.0287,0.0003,0.0002,0.0083,-0.0055793,-0.0090154,-0.0104629,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
645,37775,34461,26486,0,0,-0.30885,2.64200,9.49540,-0.007457,-0.008522,-0.010653,15.456,1.845,-0.041,0.0005,0.0004,0.0308,0.0003,0.0001,0.0094,-0.0057877,-0.0089036,-0.0104629,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
676,38028,28126,20324,0,0,-0.30047,2.60130,9.49899,-0.006392,-0.008522,-0.010653,15.442,1.836,-0.043,0.0007,0.0001,0.0326,0.0003,0.0002,0.0106,-0.0054928,-0.0086975,-0.0104629,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,,0,,,,0
