ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd
30,12500,17310,14391,0,0,0.45729,3.12204,9.31704,-0.005326,-0.009587,-0.010653,18.501,-2.713,0.080,-0.0001,0.0001,0.0004,-0.0000,0.0000,0.0000,-0.0047515,-0.0097261,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
83,34440,18071,15084,0,0,0.44293,3.19147,9.30267,-0.004261,-0.010653,-0.011718,18.702,-2.604,0.116,-0.0004,0.0010,0.0023,-0.0000,0.0000,0.0001,-0.0048778,-0.0097608,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
131,24355,17453,14500,0,0,0.53750,3.10767,9.31823,-0.005326,-0.009587,-0.010653,18.681,-2.751,0.068,0.0001,0.0009,0.0038,-0.0001,0.0001,0.0002,-0.0047827,-0.0094075,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
189,17470,17338,14408,0,0,0.43574,3.15795,9.30746,-0.004261,-0.009587,-0.010653,18.628,-2.775,0.060,0.0001,0.0010,0.0057,-0.0001,0.0002,0.0005,-0.0046182,-0.0094011,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
244,34283,20548,14717,0,0,0.47405,3.14957,9.31225,-0.004261,-0.009587,-0.011718,18.652,-2.745,0.071,0.0002,0.0010,0.0074,-0.0000,0.0002,0.0008,-0.0047995,-0.0096255,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
291,29007,18166,15193,0,0,0.50877,3.14239,9.30985,-0.005326,-0.009587,-0.010653,18.658,-2.781,0.059,0.0005,0.0010,0.0091,-0.0001,0.0002,0.0013,-0.0048536,-0.0091789,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
332,18016,17396,14448,0,0,0.48722,3.10767,9.33260,-0.005326,-0.009587,-0.011718,18.612,-2.803,0.050,0.0006,0.0010,0.0107,-0.0002,0.0005,0.0017,-0.0041956,-0.0088515,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
398,18971,17405,14473,0,0,0.44891,3.18908,9.30267,-0.004261,-0.009587,-0.011718,18.648,-2.757,0.064,0.0003,0.0014,0.0131,0.0001,0.0003,0.0024,-0.0049007,-0.0097192,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
445,28581,18400,14671,0,0,0.52194,3.12802,9.31464,-0.005326,-0.009587,-0.011718,18.641,-2.783,0.055,0.0006,0.0012,0.0146,-0.0001,0.0004,0.0031,-0.0047628,-0.0091559,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
491,28200,17454,14482,0,0,0.48842,3.12204,9.31823,-0.004261,-0.009587,-0.010653,18.627,-2.807,0.047,0.0007,0.0011,0.0163,-0.0002,0.0006,0.0038,-0.0044464,-0.0086527,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
556,37688,26669,18758,0,0,0.43934,3.15795,9.30507,-0.005326,-0.009587,-0.010653,18.643,-2.771,0.060,0.0001,0.0014,0.0179,0.0001,0.0005,0.0048,-0.0048788,-0.0095507,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
584,26850,28295,20369,0,0,0.50278,3.14359,9.30626,-0.005326,-0.009587,-0.011718,18.644,-2.784,0.055,0.0002,0.0014,0.0187,0.0000,0.0005,0.0052,-0.0049229,-0.0092400,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
630,28684,17442,14493,0,0,0.50637,3.12204,9.31344,-0.005326,-0.009587,-0.011718,18.636,-2.817,0.043,0.0007,0.0013,0.0203,-0.0002,0.0007,0.0064,-0.0047375,-0.0084727,-0.0112961,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
684,18468,17442,14496,0,0,0.43934,3.16394,9.30267,-0.004261,-0.009587,-0.011718,18.651,-2.781,0.056,0.0004,0.0013,0.0222,0.0001,0.0006,0.0075,-0.0051210,-0.0094090,-0.0112961,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
742,17503,17332,14395,0,0,0.52074,3.13521,9.30985,-0.004261,-0.009587,-0.011718,18.674,-2.783,0.054,0.0004,0.0012,0.0240,0.0001,0.0005,0.0088,-0.0055811,-0.0093584,-0.0112961,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
788,28749,17418,14460,0,0,0.51475,3.13521,9.32302,-0.005326,-0.009587,-0.011718,18.652,-2.825,0.038,0.0005,0.0012,0.0259,-0.0002,0.0008,0.0100,-0.0050791,-0.0083992,-0.0112960,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
836,25196,17488,14539,0,0,0.41779,3.14478,9.31464,-0.004261,-0.009587,-0.010653,18.658,-2.785,0.054,0.0001,0.0012,0.0273,0.0001,0.0008,0.0113,-0.0051723,-0.0093513,-0.0112962,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
884,19874,17385,14442,0,0,0.48722,3.13281,9.31344,-0.005326,-0.010653,-0.011718,18.651,-2.790,0.051,0.0001,0.0012,0.0289,0.0001,0.0009,0.0126,-0.0049983,-0.0092789,-0.0112961,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
931,23995,17432,14476,0,0,0.52672,3.13880,9.30746,-0.004261,-0.009587,-0.010653,18.652,-2.829,0.038,0.0003,0.0012,0.0305,-0.0001,0.0010,0.0140,-0.0049930,-0.0084636,-0.0112959,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
996,17772,17868,14877,0,0,0.44772,3.14598,9.31344,-0.004261,-0.009587,-0.011718,18.658,-2.797,0.047,0.0002,0.0013,0.0327,0.0001,0.0010,0.0160,-0.0051281,-0.0091630,-0.0112961,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,65535,65535,65535,1500,0,,,,,,,
