ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd
519,501072,17296,14272,0,0,-0.14485,0.13408,10.32619,0.210922,-0.104396,0.046872,1.353,1.106,-0.025,0.0007,-0.0014,0.0070,0.0000,-0.0001,0.0000,0.0000775,0.0000384,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2473,1500,0,,,,,,,
573,35243,18143,15105,0,0,0.15443,0.56623,10.18853,0.258859,-0.044741,0.028762,2.316,0.745,-0.033,0.0060,0.0016,0.0316,0.0001,-0.0001,0.0011,-0.0002784,0.0006478,0.0000041,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2470,1500,0,,,,,,,
619,28855,17516,14478,0,0,-0.24900,0.45849,10.09635,0.251402,-0.004261,0.033023,2.932,0.957,0.146,0.0054,0.0011,0.0480,0.0005,0.0000,0.0030,-0.0000360,0.0001352,-0.0000026,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2467,1500,0,,,,,,,
678,17716,17872,14535,0,0,-0.26217,0.95648,9.65222,0.204531,0.188552,0.057524,4.281,0.942,0.059,0.0068,0.0001,0.0536,0.0005,-0.0008,0.0061,-0.0029309,0.0014645,0.0000375,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2465,1500,0,,,,,,,
725,28881,17990,14974,0,0,-0.18675,0.87987,9.13627,0.123571,0.013848,0.017044,4.814,1.061,0.124,0.0068,0.0006,0.0328,0.0009,-0.0011,0.0083,-0.0041049,0.0013966,0.0000453,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2459,1500,0,,,,,,,
785,18772,17964,14963,0,0,-0.22865,1.27012,9.50737,0.031958,-0.169377,0.050067,5.396,1.004,0.919,0.0070,-0.0001,0.0122,0.0026,-0.0026,0.0095,-0.0086474,-0.0033201,-0.0001023,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2457,1500,0,,,,,,,
831,27534,17917,14889,0,0,-0.25019,0.75657,10.01375,0.005326,-0.155529,0.094809,5.261,0.763,1.239,0.0060,-0.0013,0.0231,0.0037,-0.0017,0.0103,-0.0060219,-0.0059734,-0.0001055,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2451,1500,0,,,,,,,
877,28647,18006,14625,0,0,-0.46448,1.00078,9.35893,0.021305,-0.164051,0.064981,5.477,0.586,1.817,0.0014,-0.0016,0.0129,0.0050,-0.0027,0.0113,-0.0087806,-0.0103147,-0.0002252,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2449,1500,0,,,,,,,
936,17920,17841,14851,0,0,-0.08978,-0.56264,10.40999,0.105461,-0.168312,0.094809,3.587,0.459,-0.965,0.0147,0.0030,0.0234,0.0118,0.0108,0.0120,0.0314294,-0.0218785,0.0013924,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2446,1500,0,,,,,,,
984,28912,18556,15516,0,0,-0.42018,0.59256,11.36408,0.154463,0.178964,0.137419,3.725,0.564,-1.152,0.0122,0.0020,0.0768,0.0113,0.0122,0.0140,0.0350967,-0.0164268,0.0016044,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1425,1350,2441,1500,0,,,,,,,
