ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set,gps_itow_ms
517,501238,15258,12087,0,0,-3.16513,5.60961,4.78721,1.335842,0.384560,-0.290817,48.850,-18.966,0.072,-0.0674,0.0010,-0.0483,-0.0004,0.0000,-0.0003,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2469,1500,1,17,40.4365305,-86.8936989,156.915,0.537,0.426,0.093,3,1.84,1.98,0.85,0,58343000
567,34054,15834,12793,0,0,-5.12239,7.24605,4.12641,1.360343,0.872452,-0.258859,52.317,-16.867,1.520,-0.4173,0.0484,-0.2218,-0.0122,0.0012,-0.0071,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2462,1500,1,17,40.4365305,-86.8936989,156.915,0.537,0.426,0.093,3,1.84,1.98,0.85,0,58343000
627,15849,15643,12626,0,0,-5.25886,8.52575,4.09648,1.276187,0.947020,-0.233293,56.605,-14.334,3.304,-0.8663,0.0861,-0.3478,-0.0507,0.0051,-0.0242,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2455,1500,1,17,40.4365305,-86.8936989,156.915,0.537,0.426,0.093,3,1.84,1.98,0.85,0,58343000
674,30741,16068,13034,0,0,-5.43484,6.04775,1.66996,0.241815,0.185356,-0.311057,57.322,-13.125,3.683,-1.2071,0.1726,-0.5501,-0.0994,0.0115,-0.0445,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2442,1500,1,17,40.4365305,-86.8936989,156.915,0.537,0.426,0.093,3,1.84,1.98,0.85,0,58343000
719,29501,15253,12238,0,0,-4.64595,7.21972,2.27569,3.426956,2.069809,-1.187770,65.185,-8.696,6.220,-1.4560,0.1522,-0.7337,-0.1606,0.0184,-0.0748,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2435,1500,1,17,40.4365287,-86.8937023,157.242,0.060,-0.200,0.000,3,1.78,1.98,0.40,0,58343800
772,15354,15588,12567,0,0,-6.82228,7.34421,-0.34357,0.582700,0.043676,-0.144876,69.106,-5.732,8.289,-1.9159,0.2511,-0.8693,-0.2503,0.0292,-0.1165,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2429,1500,1,17,40.4365287,-86.8937023,157.242,0.060,-0.200,0.000,3,1.78,1.98,0.40,0,58343800
831,15753,15594,12565,0,0,-7.18739,6.36858,0.57940,0.726510,-0.828776,0.294013,71.452,-5.762,7.040,-2.4307,0.3812,-1.1045,-0.3784,0.0485,-0.1746,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2415,1500,1,17,40.4365287,-86.8937023,157.242,0.060,-0.200,0.000,3,1.78,1.98,0.40,0,58343800
876,28318,15596,12289,0,0,-5.82749,6.99705,0.64404,0.744620,-0.374973,0.569916,73.449,-7.256,6.316,-2.7307,0.4088,-1.2563,-0.4923,0.0659,-0.2265,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2402,1500,1,17,40.4365287,-86.8937023,157.242,0.060,-0.200,0.000,3,1.78,1.98,0.40,0,58343800
921,29637,15360,12346,0,0,-5.13556,7.92720,-0.96726,1.064199,0.631702,0.692422,76.182,-8.532,7.999,-3.0364,0.4711,-1.4037,-0.6234,0.0855,-0.2869,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2395,1500,1,17,40.4365280,-86.8937036,157.227,0.014,-0.235,0.053,3,1.75,1.96,0.39,1,58344000
982,15870,15580,12558,0,0,-4.90572,7.44836,-1.29885,1.094027,0.211988,0.817058,79.500,-10.789,10.436,-3.4228,0.5721,-1.6392,-0.8189,0.1173,-0.3793,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2389,1500,1,17,40.4365280,-86.8937036,157.227,0.010,-0.240,0.050,3,1.75,1.96,0.39,1,58344000
1018,15782,35864,22751,0,0,-5.60243,8.14148,-1.64960,1.222924,0.009587,0.677508,80.583,-11.391,10.553,-3.5403,0.5977,-1.6913,-0.8738,0.1265,-0.4055,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2382,1500,1,17,40.4365280,-86.8937036,157.227,0.010,-0.240,0.050,3,1.75,1.96,0.39,1,58344000
1071,28922,24210,16183,0,0,-6.25844,7.21373,-2.67193,1.839712,0.198139,0.753142,86.535,-12.276,10.952,-4.0180,0.7157,-1.8948,-1.1187,0.1694,-0.5210,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2369,1500,1,17,40.4365280,-86.8937036,157.227,0.010,-0.240,0.050,3,1.75,1.96,0.39,1,58344000
