ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set
518,501086,16594,13598,0,0,9.28471,-0.74460,2.78924,-0.046872,-0.061785,0.049002,-14.423,7.945,0.043,0.1199,-0.0002,-0.1028,0.0007,-0.0000,-0.0006,0.0000665,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2472,1500,0,,,,,,,,0,,,,0
569,28371,17173,14157,0,0,9.59596,-0.72903,2.32118,-0.005326,0.026632,0.057524,-17.542,7.873,0.109,0.6161,-0.0012,-0.5369,0.0193,-0.0001,-0.0167,0.0008465,-0.0000000,0.0000010,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2469,1500,0,,,,,,,,0,,,,0
631,17214,17016,14023,0,0,9.67377,-0.70629,2.43371,-0.001065,-0.009587,0.022371,-17.671,7.868,0.209,1.2288,0.0001,-1.0687,0.0768,-0.0001,-0.0667,0.0008127,-0.0000003,0.0000005,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2465,1500,0,,,,,,,,0,,,,0
671,18597,17094,14113,0,0,9.52773,-0.83917,2.48758,0.000000,-0.013848,0.033023,-17.910,7.854,0.287,1.6195,0.0020,-1.4093,0.1336,-0.0000,-0.1161,0.0020776,0.0000032,0.0000012,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2462,1500,0,,,,,,,,0,,,,0
733,17305,17010,14041,0,0,9.56364,-0.79966,2.45885,-0.003196,0.000000,0.000000,-18.044,7.830,0.327,2.2318,0.0055,-1.9414,0.2535,0.0003,-0.2204,0.0030378,0.0000063,0.0000020,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2455,1500,0,,,,,,,,0,,,,0
778,27681,16761,13719,0,0,9.53132,-0.83558,2.57736,0.011718,-0.001065,0.015979,-18.074,7.865,0.365,2.6725,0.0084,-2.3235,0.3638,0.0007,-0.3163,0.0034715,0.0000074,0.0000018,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2449,1500,0,,,,,,,,0,,,,0
834,17057,16946,13982,0,0,9.38527,-0.86790,2.74854,0.018109,-0.003196,0.007457,-18.312,7.975,0.389,3.2148,0.0137,-2.7954,0.5272,0.0017,-0.4583,0.0064353,0.0000163,-0.0000095,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2445,1500,0,,,,,,,,0,,,,0
879,27765,16760,13711,0,0,9.31105,-0.71826,2.44687,0.005326,0.038350,0.026632,-18.076,8.052,0.362,3.6518,0.0141,-3.1818,0.6817,0.0015,-0.5930,0.0017709,0.0000019,0.0000078,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2439,1500,0,,,,,,,,0,,,,0
925,28912,17218,14220,0,0,9.48822,-0.93254,2.63242,0.014914,0.012783,0.021305,-18.215,8.120,0.437,4.1045,0.0190,-3.5696,0.8597,0.0029,-0.7478,0.0041925,0.0000137,-0.0000064,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2435,1500,0,,,,,,,,0,,,,0
981,17211,16584,13604,0,0,9.39245,-0.90860,2.48638,-0.004261,-0.034088,0.006392,-18.306,7.920,0.540,4.6540,0.0242,-4.0459,1.1065,0.0043,-0.9617,0.0071685,0.0000303,0.0000061,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2432,1500,0,,,,,,,,0,,,,0
1018,17171,37039,29175,0,0,9.72046,-0.75417,2.43969,-0.010653,-0.025566,0.031958,-18.233,7.932,0.577,4.8256,0.0258,-4.1960,1.1879,0.0046,-1.0330,0.0051839,0.0000177,-0.0000009,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2429,1500,0,,,,,,,,0,,,,0
1077,29278,28727,20873,0,0,9.60673,-0.75657,1.98719,-0.025566,0.083091,-0.024501,-18.752,7.964,0.537,5.4752,0.0322,-4.7725,1.5306,0.0079,-1.3293,0.0155922,0.0000659,0.0000023,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2422,1500,0,,,,,,,,0,,,,0
1133,17218,16970,14009,0,0,9.62948,-0.81523,2.07697,0.010653,0.001065,0.037284,-18.975,7.685,0.685,6.1502,0.0369,-5.3427,1.9283,0.0094,-1.6732,0.0197270,0.0001014,0.0000544,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2415,1500,0,,,,,,,,0,,,,0
1178,27760,16756,13712,0,0,9.52533,-0.84994,2.21344,-0.015979,-0.022371,-0.003196,-19.315,7.583,0.670,6.5893,0.0376,-5.7196,2.2147,0.0102,-1.9195,0.0256846,0.0001435,0.0001065,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2409,1500,0,,,,,,,,0,,,,0
1223,27810,17138,14132,0,0,9.22486,-0.94810,2.70305,0.000000,-0.008522,0.007457,-19.513,7.591,0.656,7.0217,0.0416,-6.0910,2.5193,0.0118,-2.1829,0.0284475,0.0001598,0.0001224,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2405,1500,0,,,,,,,,0,,,,0
1279,17111,16607,13618,0,0,9.75398,-0.97803,2.30562,-0.038350,0.086286,-0.017044,-19.807,7.698,0.634,7.5751,0.0511,-6.5720,2.9280,0.0156,-2.5371,0.0322930,0.0001706,0.0000986,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2402,1500,0,,,,,,,,0,,,,0
1325,29159,17147,14166,0,0,9.67736,-0.92177,1.92135,-0.006392,0.037284,-0.008522,-20.088,7.684,0.679,8.0224,0.0592,-6.9707,3.2869,0.0199,-2.8489,0.0367018,0.0001736,0.0000606,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2395,1500,0,,,,,,,,0,,,,0
1370,27368,17099,14107,0,0,9.59596,-0.80804,2.18710,0.020240,-0.076699,0.052198,-19.923,7.617,0.792,8.4609,0.0629,-7.3535,3.6558,0.0215,-3.1698,0.0325180,0.0001617,0.0000777,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2392,1500,0,,,,,,,,0,,,,0
1424,17152,15542,12574,0,0,9.62469,-0.33998,1.98479,-0.019175,0.284426,0.057524,-20.575,8.062,0.957,9.0021,0.1084,-7.8446,4.1429,0.0399,-3.5872,0.0458017,0.0003740,-0.0001293,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2389,1500,0,,,,,,,,0,,,,0
1484,15752,17073,14091,0,0,9.13747,-0.41779,2.51870,-0.040480,0.040480,0.061785,-19.846,8.802,-0.839,9.5764,-0.1641,-8.2813,4.6797,-0.0828,-4.0519,0.0266185,-0.0003101,0.0018888,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2382,1500,0,,,,,,,,0,,,,0
