ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set,gps_itow_ms
1517,1500945,15149,12048,0,0,0.69552,4.45082,8.86333,0.927845,-1.265534,-0.472977,-4.728,29.629,-0.299,0.0602,0.0643,-0.0349,0.0004,0.0004,-0.0002,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,0,,,,,,,,0,,,,0,
1575,33451,15634,12349,0,0,4.35745,5.09486,8.57483,0.942759,-1.154747,-0.495348,-2.726,24.836,-1.974,0.4840,0.3458,-0.2462,0.0158,0.0119,-0.0079,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,0,,,,,,,,0,,,,0,
1621,30941,15641,12208,0,0,5.31752,9.13508,10.51414,1.463673,1.677791,-0.493217,0.065,27.969,-3.776,0.9750,0.6761,-0.4522,0.0501,0.0347,-0.0252,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,0,,,,,,,,0,,,,0,
1678,16766,15248,12213,0,0,-0.77931,6.52181,7.80749,1.177117,1.558482,-0.448476,3.191,35.115,-5.328,1.1083,0.9889,-0.5976,0.1090,0.0825,-0.0554,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,16,40.4364984,-86.8936821,160.334,0.480,0.480,-0.080,3,1.05,1.30,0.18,0,58894200
1726,31488,15858,12778,0,0,0.76016,6.28239,7.97389,1.301753,0.164051,-0.019175,6.281,36.227,-5.764,1.4034,1.2054,-0.7802,0.1680,0.1339,-0.0882,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,16,40.4364984,-86.8936821,160.334,0.480,0.480,-0.080,3,1.05,1.30,0.18,0,58894200
1778,28490,15261,12208,0,0,1.11091,8.90643,8.44076,1.356082,0.796818,-0.242880,10.169,37.943,-5.989,1.8000,1.5350,-0.9155,0.2532,0.2067,-0.1333,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,16,40.4364984,-86.8936821,160.334,0.480,0.480,-0.080,3,1.05,1.30,0.18,0,58894200
1827,30657,17264,12829,0,0,0.30406,9.74799,7.84939,1.064199,0.471912,-0.242880,12.842,39.587,-6.377,2.1465,1.8448,-1.0486,0.3444,0.2844,-0.1789,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,16,40.4364984,-86.8936821,160.334,0.480,0.480,-0.080,3,1.05,1.30,0.18,0,58894200
1875,32221,15758,12461,0,0,1.19471,7.32267,7.78834,0.597613,0.127832,-0.160855,14.409,40.169,-7.034,2.5031,2.1071,-1.1919,0.4596,0.3834,-0.2341,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,16,40.4364984,-86.8936802,160.508,-0.110,0.380,-0.250,3,1.04,1.30,0.22,0,58894400
1931,15886,15674,12628,0,0,-0.99599,7.24126,6.19619,0.791491,-0.155529,0.112918,16.710,40.571,-7.136,2.8405,2.3195,-1.4374,0.6113,0.5082,-0.3090,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,16,40.4364984,-86.8936802,160.508,-0.110,0.380,-0.250,3,1.04,1.30,0.22,0,58894400
1982,26192,15733,12652,0,0,-1.37906,8.44794,5.20260,0.915062,-0.199204,0.224771,19.505,39.423,-6.836,3.0655,2.5842,-1.6332,0.7613,0.6324,-0.3876,0.0082771,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1650,1575,2475,1500,1,16,40.4364984,-86.8936802,160.508,-0.110,0.380,-0.250,3,1.04,1.30,0.22,0,58894400
