ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set
517,501012,15167,12059,0,0,1.09176,0.80206,10.72842,1.674596,0.594418,0.245011,-4.644,-25.489,0.151,-0.0449,0.0207,0.0032,-0.0003,0.0001,0.0000,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2472,1500,0,,,,,,,,0,,,,0
581,15894,15468,12124,0,0,2.78087,1.93930,10.74039,1.781122,0.139550,0.173638,1.542,-24.274,0.827,-0.2359,0.1509,0.0266,-0.0099,0.0057,0.0006,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2469,1500,0,,,,,,,,0,,,,0
623,21173,15643,12635,0,0,3.45004,2.84671,9.16022,1.915345,-0.044741,-0.368582,6.312,-24.293,0.243,-0.2696,0.2251,0.0483,-0.0206,0.0135,0.0023,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2462,1500,0,,,,,,,,0,,,,0
675,16076,15758,12366,0,0,2.94846,4.08211,7.48906,2.126268,-0.175769,-0.570982,13.309,-24.368,-1.438,-0.3071,0.3412,0.0047,-0.0355,0.0281,0.0039,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2459,1500,0,,,,,,,,0,,,,0
717,21020,15264,12228,0,0,3.44047,4.89614,6.23330,2.092179,-0.287621,-1.013067,19.519,-24.357,-3.915,-0.2956,0.4454,-0.0529,-0.0483,0.0449,0.0030,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2452,1500,0,,,,,,,,0,,,,0
775,15309,15553,12264,0,0,2.78446,6.22612,5.08768,1.669269,-0.504935,-1.631985,27.728,-23.832,-9.328,-0.2791,0.6105,-0.1629,-0.0647,0.0749,-0.0032,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2449,1500,0,,,,,,,,0,,,,0
827,15644,16012,13015,0,0,1.75615,6.89171,4.98114,1.088700,-0.631702,-1.736381,33.632,-22.785,-15.020,-0.3087,0.7863,-0.2658,-0.0797,0.1107,-0.0143,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2442,1500,0,,,,,,,,0,,,,0
870,26853,15720,12703,0,0,-0.07661,7.42083,6.76721,0.717988,-0.380299,-1.960087,37.369,-20.744,-19.979,-0.4000,0.9140,-0.3086,-0.0947,0.1479,-0.0271,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2435,1500,0,,,,,,,,0,,,,0
928,15792,15582,12566,0,0,-1.10133,6.82347,5.19542,0.741424,0.093743,-2.126268,41.493,-16.550,-25.602,-0.5315,1.0756,-0.3886,-0.1217,0.2053,-0.0468,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2432,1500,0,,,,,,,,0,,,,0
978,15684,15131,12130,0,0,-3.01071,6.77559,5.70299,0.972586,-0.059655,-1.545699,45.184,-13.135,-29.630,-0.7324,1.2409,-0.4846,-0.1541,0.2648,-0.0692,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2425,1500,0,,,,,,,,0,,,,0
