ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set
517,501003,15199,12074,0,0,1.30604,-0.68474,9.75278,2.094310,-1.278317,-0.049002,-12.272,5.270,0.173,0.0273,0.0176,-0.0037,0.0002,0.0001,-0.0000,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2472,1500,0,,,,,,,,0,,,,0
580,17214,15095,12130,0,0,2.51271,2.13563,8.47906,1.095092,-0.351537,0.080960,-7.019,2.627,0.747,0.2049,0.2022,-0.0910,0.0074,0.0067,-0.0026,0.0000000,0.0000000,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2469,1500,0,,,,,,,,0,,,,0
623,26275,17120,14127,0,0,2.56898,3.52067,9.13388,0.046872,0.050067,0.082025,-6.616,-12.392,2.669,0.0466,0.3795,-0.0627,0.0050,0.0186,-0.0037,-0.0000095,0.0025388,0.0000746,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2462,1500,0,,,,,,,,0,,,,0
674,15341,15366,12247,0,0,2.83234,2.20027,8.74362,-0.624245,0.067112,-0.015979,-7.923,-12.597,2.607,0.0615,0.5617,-0.0997,0.0077,0.0434,-0.0079,-0.0000095,0.0025388,0.0000746,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2459,1500,0,,,,,,,,0,,,,0
731,15684,15518,12553,0,0,1.15041,1.15041,9.72644,-1.228250,0.586961,-0.057524,-11.695,-10.757,2.226,0.0530,0.7352,-0.1464,0.0113,0.0806,-0.0152,-0.0000095,0.0025388,0.0000746,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2452,1500,0,,,,,,,,0,,,,0
773,25877,15670,12687,0,0,1.18034,0.70509,8.97227,-1.180313,0.399474,-0.038350,-14.507,-9.764,1.867,0.0456,0.8695,-0.1913,0.0135,0.1142,-0.0221,-0.0000095,0.0025388,0.0000746,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2445,1500,0,,,,,,,,0,,,,0
826,16656,16032,13043,0,0,0.99359,-0.62489,9.50737,-0.712662,0.312122,0.060720,-17.248,-8.683,1.590,0.0392,0.9933,-0.2207,0.0159,0.1631,-0.0329,-0.0000095,0.0025388,0.0000746,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2442,1500,0,,,,,,,,0,,,,0
873,22896,18730,15728,0,0,1.09415,-0.92177,9.32542,-0.073503,-0.139550,0.039415,-6.996,-7.686,0.448,0.0865,0.4603,-0.0434,0.0298,0.1025,-0.0076,-0.0055655,0.0001858,0.0006953,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2435,1500,0,,,,,,,,0,,,,0
918,28094,15768,12674,0,0,0.83199,-1.04627,9.47864,0.517718,-0.416518,0.061785,-6.002,-8.567,0.724,0.0635,0.4622,-0.0581,0.0334,0.1246,-0.0101,-0.0055655,0.0001858,0.0006953,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2429,1500,0,,,,,,,,0,,,,0
971,15773,15496,12541,0,0,1.37547,-0.68594,10.19691,0.845820,-0.668986,-0.051133,-3.710,-10.227,0.889,0.0625,0.4615,-0.0472,0.0370,0.1494,-0.0132,-0.0055655,0.0001858,0.0006953,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1575,2425,1500,0,,,,,,,,0,,,,0
