ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,s_roll,s_pitch,u_diff_deg,u_sym_deg,u_tail_deg,left_inc_deg,right_inc_deg,b00,b01,b10,b11,left_deg,right_deg,morph_deg,tail_deg,left_pwm,right_pwm,morph_pwm,tail_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set
520,501253,17841,14821,0,0,-0.18914,-0.23942,10.03170,-0.051133,0.120375,0.148072,-1.026,0.595,0.048,-0.0011,-0.0007,0.0032,-0.0001,-0.0000,0.0000,0.0201767,-0.0454119,0.0000000,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2474,1500,1,18,40.4361918,-86.8937354,162.208,0.410,-0.330,0.130,3,0.79,1.03,0.36,0
573,34790,18403,15403,0,0,-0.21189,-0.11851,10.04487,0.003196,0.060720,0.196009,-0.745,0.801,0.600,-0.0021,0.0000,0.0157,-0.0001,-0.0000,0.0005,0.0200641,-0.0455269,0.0000002,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2473,1500,1,18,40.4361918,-86.8937354,162.208,0.410,-0.330,0.130,3,0.79,1.03,0.36,0
622,25135,17954,14941,0,0,-0.01437,-0.48602,10.30464,-0.047937,0.019175,0.161920,-1.644,0.985,1.224,-0.0017,-0.0017,0.0374,-0.0003,0.0002,0.0018,0.0215427,-0.0451771,-0.0000086,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2471,1500,1,18,40.4361949,-86.8937422,161.834,0.230,-0.380,0.180,3,0.88,1.07,0.45,0
670,29453,17964,14985,0,0,-0.44532,-0.33998,9.82940,-0.012783,0.000000,0.131028,-1.718,1.315,1.583,-0.0036,-0.0023,0.0451,-0.0002,0.0001,0.0038,0.0215571,-0.0461386,-0.0000046,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2470,1500,1,18,40.4361949,-86.8937422,161.834,0.230,-0.380,0.180,3,0.88,1.07,0.45,0
729,18019,17916,14923,0,0,-0.47405,-0.69911,10.26993,0.000000,-0.099070,0.059655,-2.249,1.501,1.754,-0.0027,-0.0010,0.0631,0.0006,0.0012,0.0069,0.0251450,-0.0493940,0.0000159,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2469,1500,1,18,40.4361949,-86.8937422,161.834,0.230,-0.380,0.180,3,0.88,1.07,0.45,0
778,30348,18082,14719,0,0,-0.36751,-0.50877,10.03649,-0.004261,-0.092678,0.085221,-2.489,1.546,1.932,-0.0034,-0.0011,0.0779,0.0009,0.0018,0.0104,0.0269558,-0.0506333,0.0000277,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2466,1500,1,19,40.4361948,-86.8937419,161.795,0.060,-0.200,0.150,3,0.89,1.07,0.41,0
823,29951,15636,12641,0,0,-0.12330,-0.01796,9.89643,-0.025566,-0.319579,0.111853,-2.448,0.903,2.320,-0.0030,0.0099,0.0838,0.0006,0.0010,0.0143,0.0245120,-0.0500613,0.0000020,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2465,1500,1,19,40.4361948,-86.8937419,161.795,0.060,-0.200,0.150,3,0.89,1.07,0.41,0
887,18132,17848,14881,0,0,-0.16759,-0.29688,10.03051,-0.045806,-0.138484,0.046872,-2.456,0.371,2.878,-0.0020,0.0133,0.0912,0.0012,0.0003,0.0196,0.0201230,-0.0519289,-0.0001251,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2463,1500,1,19,40.4361948,-86.8937419,161.795,0.060,-0.200,0.150,3,0.89,1.07,0.41,0
934,28813,18310,15334,0,0,-0.27533,-0.48363,9.95270,-0.013848,0.035154,0.000000,-2.588,0.745,2.708,-0.0014,0.0134,0.0985,0.0026,0.0011,0.0240,0.0204337,-0.0562907,-0.0000579,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2461,1500,1,19,40.4361948,-86.8937419,161.795,0.060,-0.200,0.150,3,0.89,1.07,0.41,0
976,18632,17972,14679,0,0,-0.16161,-0.49440,10.03769,0.019175,0.116114,0.028762,-2.712,1.119,2.698,-0.0017,0.0136,0.1082,0.0025,0.0024,0.0285,0.0222110,-0.0563753,-0.0000368,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2459,1500,1,16,40.4361939,-86.8937394,161.819,-0.260,0.370,0.100,3,0.91,1.07,0.44,1
1042,37938,27212,19199,0,0,-0.44891,-0.53151,9.97424,0.049002,0.174703,0.041545,-2.642,1.836,2.821,-0.0039,0.0122,0.1211,0.0027,0.0032,0.0350,0.0225959,-0.0573267,-0.0000526,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2458,1500,1,16,40.4361939,-86.8937394,161.819,-0.260,0.370,0.100,3,0.91,1.07,0.44,1
1075,27517,32496,24446,0,0,-0.46926,-0.58538,9.92995,0.066046,0.221575,0.038350,-2.572,2.278,2.862,-0.0057,0.0083,0.1253,0.0026,0.0035,0.0383,0.0225959,-0.0573267,-0.0000526,0.000000,0.000000,0.000000,0.00000,0.00000,0.000,0.000,0.000,0.000,0.000,-6.0000,0.0000,0.0000,6.0000,95.00,95.00,90.00,90.00,1575,1425,2457,1500,1,16,40.4361939,-86.8937394,161.819,-0.260,0.370,0.100,3,0.91,1.07,0.44,1
