ms,control_dt_us,control_exec_us,esekf_us,missed,log_dropped,mode,ctrl,ax,ay,az,gx,gy,gz,roll_deg,pitch_deg,yaw_deg,vn,ve,vu,pn,pe,pu,bgx,bgy,bgz,bax,bay,baz,pid_p_roll,pid_d_roll,pid_i_roll,pid_p_pitch,pid_d_pitch,pid_i_pitch,u_diff_deg,u_sym_deg,left_inc_deg,right_inc_deg,left_deg,right_deg,morph_deg,left_pwm,right_pwm,morph_pwm,gps_fix,gps_sats,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_vn,gps_ve,gps_vd,gps_fix_type,gps_hacc_m,gps_vacc_m,gps_sacc_mps,gps_origin_set
533,501616,30704,27560,0,0,3,0,-0.68953,2.74016,9.44513,-0.755273,0.177899,1.115332,-49.492,31.989,0.498,0.0185,0.1122,-0.0751,0.0001,0.0007,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2472,0,,,,,,,,0,,,,0
601,31473,35974,22846,0,0,3,0,1.71185,0.25139,9.07283,-0.083091,0.82558,0.278034,-48.681,34.514,1.81,0.2862,0.6641,-0.4869,0.0094,0.0266,-0.0186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2465,0,,,,,,,,0,,,,0
664,31015,31292,28202,0,0,3,0,-1.46645,1.55743,9.65103,-0.030893,-0.238619,-0.098004,-48.515,35.742,0.946,0.4173,1.2197,-0.7704,0.0336,0.0905,-0.0608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2459,0,,,,,,,,0,,,,0
695,31523,30802,26156,0,0,3,0,0.18316,1.12288,9.81503,0.017044,0.059655,0.014914,-48.53,35.833,0.869,0.5225,1.4766,-0.9383,0.0484,0.133,-0.0877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2455,0,,,,,,,,0,,,,0
737,26396,15944,12921,0,0,3,0,-0.29688,0.97205,9.81144,-0.001065,-0.039415,-0.02024,-48.529,35.725,0.92,0.6837,1.9378,-1.2165,0.0829,0.231,-0.1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2449,0,,,,,,,,0,,,,0
798,17217,15951,12909,0,0,3,0,-0.42856,1.01873,9.79707,-0.004261,0.001065,-0.011718,-48.537,35.665,0.945,0.8556,2.4227,-1.5112,0.1292,0.3623,-0.2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2445,0,,,,,,,,0,,,,0
834,20018,16336,13337,0,0,3,0,-0.41779,1.00676,9.7863,-0.006392,-0.005326,-0.011718,-48.553,35.635,0.942,0.9589,2.7143,-1.6888,0.162,0.4553,-0.2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2439,0,,,,,,,,0,,,,0
893,16422,16213,13231,0,0,3,0,-0.44532,1.01514,9.79707,-0.005326,-0.012783,-0.009587,-48.574,35.588,0.941,1.1271,3.1905,-1.9784,0.2237,0.6299,-0.3979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2435,0,,,,,,,,0,,,,0
936,20935,16379,12971,0,0,3,0,-0.42856,1.00556,9.79827,-0.006392,-0.009587,-0.010653,-48.584,35.549,0.95,1.2483,3.5322,-2.186,0.2741,0.7724,-0.4862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2429,0,,,,,,,,0,,,,0
990,17392,16378,13365,0,0,3,0,-0.43814,0.99599,9.79109,-0.005326,-0.011718,-0.010653,-48.604,35.507,0.946,1.402,3.9676,-2.4505,0.3457,0.9751,-0.6115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,1500,1500,2425,0,,,,,,,,0,,,,0
