ms,ax_g,ay_g,az_g,a_norm_g,gx_dps,gy_dps,gz_dps,roll_acc_deg,pitch_acc_deg,roll_cf_deg,pitch_cf_deg,p_filt_dps,q_filt_dps,u_roll_deg,u_pitch_deg,left_cmd_deg,right_cmd_deg,left_servo_deg,right_servo_deg,left_pwm,right_pwm
14,0.667480,-0.038452,0.793823,1.037865,15.991211,-37.170410,-15.136719,-2.773,-40.025,-2.999,-39.637,3.507,-7.546,2.808,44.095,25.796,22.708,92.40,92.40,1487,1513
73,0.598267,-0.013062,0.742310,0.953476,13.122559,-28.076172,-19.775391,-1.008,-38.863,-2.114,-40.454,12.015,-21.543,0.817,44.672,44.902,42.643,105.02,105.02,1417,1583
124,0.710205,0.106689,0.743042,1.033385,28.015137,-47.729492,-14.160156,8.171,-43.414,-0.132,-42.123,19.445,-32.637,-6.514,48.978,43.343,53.786,118.80,118.80,1340,1660
168,0.783081,0.106689,0.810913,1.132333,20.202637,1.892090,-6.225586,7.495,-43.754,1.408,-43.005,14.717,-11.015,-6.461,48.287,41.686,54.329,128.40,128.40,1287,1713
216,0.763550,0.208252,0.742065,1.084914,9.277344,-29.174805,-3.662109,15.676,-44.732,3.437,-43.677,16.539,-18.037,-13.294,49.681,36.645,59.149,126.65,140.40,1296,1780
274,0.852539,0.229370,0.809082,1.197517,18.371582,-6.225586,1.770020,15.828,-45.392,5.103,-44.497,14.784,-9.897,-6.342,49.346,41.748,56.465,131.17,146.46,1271,1814
321,0.729248,0.198120,0.711548,1.037957,7.812500,-1.403809,5.859375,15.559,-44.634,6.303,-44.587,13.923,-1.045,-14.155,48.948,35.458,59.678,125.46,149.68,1303,1832
368,0.736816,0.202271,0.753296,1.072971,7.629395,-3.295898,5.615234,15.030,-43.370,7.232,-44.580,10.801,-1.054,-13.745,48.085,34.407,59.971,124.41,149.97,1309,1833
416,0.724365,0.158447,0.713379,1.028941,4.577637,-4.699707,5.065918,12.523,-44.748,7.738,-44.598,8.148,-0.359,-12.237,49.013,36.529,59.962,126.53,149.96,1297,1833
474,0.840088,0.140991,0.790039,1.161804,-0.549316,13.610840,4.638672,10.119,-46.310,8.075,-44.701,3.415,4.351,-10.390,49.952,38.756,59.998,128.76,150.00,1285,1833
521,0.826660,0.213013,0.826782,1.188407,-4.333496,52.551270,2.136230,14.448,-44.075,8.038,-44.040,-0.882,29.035,-8.646,46.594,37.220,57.382,127.22,147.75,1293,1821
569,0.853760,0.203247,0.910767,1.264797,-7.751465,88.806152,2.258301,12.580,-42.455,7.466,-41.944,-4.799,58.321,-7.781,42.531,35.404,51.566,125.40,141.57,1303,1786
621,0.768677,0.198364,0.968628,1.252379,-19.470215,137.817383,-2.563477,11.574,-37.863,6.412,-37.602,-8.038,76.441,-6.428,36.668,32.564,46.907,122.56,136.91,1319,1761
664,0.566895,0.146240,0.959961,1.124402,-26.123047,152.770996,-3.417969,8.662,-30.277,5.777,-33.190,-15.517,118.884,-6.422,28.114,23.466,37.182,115.99,128.80,1356,1716
