V_mps,alpha_deg,gamma_deg,theta_deg,wing_collective_deg,wing_R_incidence_deg,wing_L_incidence_deg,tail_curl_delta_deg,tail_curl_total_deg,R_lift,R_drag,R_Cm,residual_norm,Cm_y,dCm_dalpha,CL,CD,LD,L_over_W,D_over_W,vlm_converged,vlm_solver_err,exitflag,trim_residual_ok,pass_speed_point
6,6.10489477460338,15.0083295141815,-8.90343473957816,0.00623171751643525,0.00623171751643525,0.00623171751643525,57.6381410272666,57.6381410272666,8.86478660150681e-06,-4.73676253858658e-06,-8.79231172233906e-08,1.00513228637704e-05,-8.79231172233906e-08,-0.0557446575701587,0.547367813550446,0.146748023934461,3.72998421971872,0.965897054416416,0.258954729435627,1,0.00153303661792596,1,1,0
6.25,5.40421870104616,15.4006268502444,-9.99640814919828,0.00777376461577717,0.00777376461577717,0.00777376461577717,56.2991109095809,56.2991109095809,8.65934444513384e-06,-9.62756458519355e-06,-1.80059199224383e-07,1.29501609015783e-05,-1.80059199224383e-07,-0.0531454042373599,0.503516243308367,0.138691133048864,3.63048619071391,0.964101158177415,0.265557037689168,1,0.00148161496806896,1,1,0
6.5,4.76906776220599,15.9038773833661,-11.1348096211601,0.0146470826458973,0.0146470826458973,0.0146470826458973,55.2097349397008,55.2097349397008,2.28136903789687e-05,5.36711879225068e-06,3.96590689773559e-07,2.34398745093227e-05,3.96590689773559e-07,-0.0546104409997363,0.464391649503008,0.132318871602572,3.50964033987409,0.961745581366112,0.274029669205539,1,0.00144371355335503,1,1,0
6.75,4.21774605824686,16.5047266648502,-12.2869806066034,-0.000403820231852592,-0.000403820231852592,-0.000403820231852592,54.1569114583067,54.1569114583067,1.18777738258175e-05,-1.36093742269495e-06,6.24237145386396e-07,1.19717723725206e-05,6.24237145386396e-07,-0.0592654568436729,0.42931404831328,0.127204954583407,3.37497898347805,0.958808179288061,0.284093081462679,1,0.00142263639413402,1,1,0
7,3.70611293303523,17.2153128387605,-13.5091999057253,-0.000487102895949221,-0.000487102895949221,-0.000487102895949221,53.2523857420733,53.2523857420733,-3.16413688759e-05,-9.12078304013418e-06,6.52559282896098e-08,3.29297610975565e-05,6.52559282896098e-08,-0.0516756364466428,0.397680634701011,0.123219482636336,3.22741685155996,0.955167655865724,0.295954225870775,1,0.00140206912785261,1,1,0
7.25,3.24804249186574,18.053009475122,-14.8049669832563,7.2403456456982e-06,7.2403456456982e-06,7.2403456456982e-06,52.6331118904444,52.6331118904444,1.72651835222086e-05,-5.33586269956535e-06,-1.40474185013983e-06,1.81254322009073e-05,-1.40474185013983e-06,-0.03959105108952,0.369027179898448,0.120277522535031,3.06813087034584,0.950787475083976,0.309891433991146,1,0.00136533858437685,1,1,0
7.5,2.84518121453603,18.9899763200656,-16.1447951055296,-2.66812037352793e-07,-2.66812037352793e-07,-2.66812037352793e-07,52.1265607404282,52.1265607404282,7.51480982707908e-06,2.69674091786495e-05,-1.09406396313334e-06,2.80162542196722e-05,-1.09406396313334e-06,-0.0422718797425576,0.342947830216019,0.118028143807526,2.90564452809899,0.945583032856828,0.325429701986111,1,0.00198449676254819,1,1,0
7.75,2.48668531802045,19.9854690760051,-17.4987837579847,-2.34423509937187e-07,-2.34423509937187e-07,-2.34423509937187e-07,51.5278723737498,51.5278723737498,9.25840771977787e-06,-5.49801095551553e-06,2.92429045166871e-06,1.11578543017164e-05,2.92429045166871e-06,-0.0694885223992775,0.319210874651167,0.116088573702678,2.74971829241971,0.939788589544856,0.34177631655418,1,0.00189691239510825,1,1,0
8,2.17306383626024,20.9598296713347,-18.7867658350745,-1.96292557319566e-07,-1.96292557319566e-07,-1.96292557319566e-07,50.5166509966585,50.5166509966585,-2.95483128562896e-05,1.24547587224419e-05,-4.67477318182724e-07,3.20693364841001e-05,-4.67477318182724e-07,-0.115345572484604,0.297663576563225,0.114030539583367,2.61038470615676,0.933801902095143,0.357725778845053,1,0.00176688683112553,1,1,0
8.25,1.89773482533724,21.92244136831,-20.0247065429727,-2.03082109351271e-07,-2.03082109351271e-07,-2.03082109351271e-07,49.2275567704514,49.2275567704514,3.40473218043506e-05,-2.41352640198271e-05,1.46497721131355e-06,4.1759756340111e-05,1.46497721131355e-06,-0.173451805436656,0.278074955009429,0.111900609811993,2.48501733347681,0.927724139779502,0.373327029667642,1,0.00160342745759223,1,1,0
8.5,1.65381755935299,22.845870328343,-21.19205276899,-2.85793170462512e-07,-2.85793170462512e-07,-2.85793170462512e-07,47.6617591108257,47.6617591108257,2.27074759154716e-05,4.19244928442889e-05,-2.59976224402064e-06,4.77498829991027e-05,-2.59976224402064e-06,-0.230167680893114,0.260221934604447,0.109641591642908,2.3733870578235,0.921575323238849,0.388295419493849,1,0.00141181163774672,1,1,0
8.75,1.43825868502737,23.7603195865705,-22.3220609015431,-2.47641260386899e-07,-2.47641260386899e-07,-2.47641260386899e-07,45.9870171591626,45.9870171591626,3.47358223422496e-05,3.79778548278033e-05,-2.31154138846925e-07,5.14679341274734e-05,-2.31154138846925e-07,-0.288543866873845,0.243885384169563,0.10737061747806,2.27143505269864,0.915273661082235,0.402949518629123,1,0.00195506802332046,1,1,0
9,1.24349906616163,24.6290724280449,-23.3855733618833,-2.54295137835925e-07,-2.54295137835925e-07,-2.54295137835925e-07,44.0975819879569,44.0975819879569,-6.27568148331171e-05,-9.56598093401187e-06,-1.72639334178786e-07,6.34819313156723e-05,-1.72639334178786e-07,-0.343322161340124,0.228934702452366,0.104959873095497,2.18116405537257,0.908962010326781,0.416732527793063,1,0.00177324573674195,1,1,0
9.25,1.06708972107312,25.48684456073,-24.4197548396569,-2.5103742018473e-07,-2.5103742018473e-07,-2.5103742018473e-07,42.2165090796932,42.2165090796932,-2.04900817339408e-05,6.37958251610857e-05,1.28453451419546e-07,6.70057255593622e-05,1.28453451419546e-07,-0.382494480568217,0.215225333090885,0.102614104899274,2.0974244554601,0.902663618290229,0.430367642534338,1,0.00151716864633977,1,1,0
9.5,0.906872483772124,26.3380300693751,-25.431157585603,-2.37492510990478e-07,-2.37492510990478e-07,-2.37492510990478e-07,40.3129236631405,40.3129236631405,-4.57663119139832e-05,-4.5658590520992e-05,3.0205205192546e-07,6.46479189921354e-05,3.0205205192546e-07,-0.42860830366604,0.202573512596072,0.100280222691673,2.02007441904986,0.896146378143483,0.443620477390621,1,0.00140746461608624,1,1,0
9.75,0.76094779479951,27.2140396076584,-26.4530918128589,-2.26095917099656e-07,-2.26095917099656e-07,-2.26095917099656e-07,38.5688933034755,38.5688933034755,-4.50623056982732e-05,-1.13205078844792e-05,-3.45365539688012e-07,4.64637984990808e-05,-3.45365539688012e-07,-0.463092757835783,0.19084029939058,0.0981402568913515,1.94456694363307,0.889259278206823,0.457304533083034,1,0.00197934870438104,1,1,0
10,0.627384985303979,28.0135853447193,-27.3862003594153,-2.56733294179412e-07,-2.56733294179412e-07,-2.56733294179412e-07,36.6198234031262,36.6198234031262,-1.54540388588552e-05,-5.25417544295786e-05,-1.65074171842689e-06,5.47922277682712e-05,-1.65074171842689e-06,-0.48878463095348,0.180104046909979,0.0958087630487262,1.87982853737901,0.882820798070549,0.469628362649202,1,0.00179584144471515,1,1,0
