V_mps,alpha_deg,gamma_deg,theta_deg,R_lift,R_drag,Cm_y,force_residual_norm,dCm_dalpha,CL,CD,LD,L_over_W,D_over_W,vlm_converged,vlm_solver_err,exitflag,pass_speed_point
6,6.24179263713484,11.0264060640653,-4.78461342693048,2.80641918141119e-05,2.81638572443373e-05,-0.0128346624591575,3.97592972405031e-05,-0.0200821670673833,0.555485811326402,0.108254052435279,5.13131655425561,0.981567204723555,0.191289544183257,1,0.00152763872949413,1,0
6.25,5.54989266528085,10.9524889704756,-5.40259630519477,5.73486255857037e-05,-1.10729293031583e-05,-0.0127407616461993,5.84078301250951e-05,-0.0183794360444629,0.512079260990892,0.0990859602936809,5.16803046035119,0.981842417944267,0.18998386822154,1,0.00148928512124263,1,0
6.5,4.93039625195067,10.9547287628193,-6.02433251086866,3.15307228925055e-05,2.30611711024987e-05,-0.0127217105657852,3.90641024310388e-05,-0.0125020816726198,0.473430031083766,0.0916455064174004,5.16588373605056,0.981809172056488,0.190056381874189,1,0.00145074208581025,1,0
6.75,4.37326482161593,11.0160616664241,-6.64279684480813,-4.86182696670952e-05,1.45332956911315e-05,-0.0127109710406043,5.07439930343312e-05,-0.0134694053977997,0.438883514521158,0.0854487310626538,5.13622038692833,0.98152503732074,0.191098699701189,1,0.00143046401774683,1,0
7,3.87279886895071,11.1288022162977,-7.25600334734699,-1.07606120728599e-05,4.45084958560385e-05,-0.0127471256366005,4.57907957514343e-05,-0.0060861065667406,0.407953113060541,0.080269594421607,5.08228696058701,0.981184999855163,0.1930597401257,1,0.00141366913660026,1,0
7.25,3.42496666808026,11.3112527439561,-7.88628607587584,-2.10097225268515e-05,-7.29101713505729e-06,-0.0128151081539293,2.22388707338972e-05,0.0104757707248344,0.380059367919456,0.0760197845474852,4.99947967732077,0.9805551465927,0.196131439645772,1,0.00138343675931954,1,0
7.5,3.02682673964837,11.5568899115498,-8.53006317190143,-2.48316724351608e-05,1.45290813758303e-05,-0.0129708931756743,2.87698828908396e-05,0.0118166929771269,0.354835161373342,0.0725661102849641,4.88981922801042,0.979701434270204,0.200355348242358,1,0.00133943781073018,1,0
7.75,2.67817631132772,11.8675738915859,-9.18939758025815,2.2515487553444e-05,-5.32187645601729e-05,-0.0131089658244753,5.77856736664063e-05,0.0042613317975226,0.331954498668869,0.0697379416627255,4.76002719257624,0.978648043561802,0.205597153959143,1,0.00193948129904301,1,0
8,2.36820898885172,12.2154730744686,-9.84726408561687,6.02709456161109e-05,2.94807340296608e-05,-0.0130823948239062,6.70947133862854e-05,-0.0261989336080179,0.31114029639555,0.0673641025008634,4.61878485490937,0.977419060041509,0.211618226599708,1,0.00184720142432714,1,0
8.25,2.09180838686105,12.6127847941581,-10.520976407297,1.14224875545779e-05,-5.76396743449757e-05,-0.0129676186754953,5.87605759036562e-05,-0.0657085689183122,0.292108182356885,0.0653443365462069,4.4702907366781,0.975879484356843,0.218303359186437,1,0.00172242617442527,1,0
8.5,1.84662533509961,13.0348291419822,-11.1882038068826,3.44513398184441e-05,7.41656808635447e-05,-0.0127002598663183,8.17767878632994e-05,-0.116272806164919,0.274723516232532,0.0636195110817597,4.318227404789,0.974267592140413,0.225617481622189,1,0.00158783880963691,1,0
8.75,1.62676541951398,13.5021854518639,-11.8754200323499,1.2887319229595e-05,-2.78793651568854e-05,-0.0123513986925748,3.07138730621269e-05,-0.162965008577305,0.258745389344417,0.0621214683113394,4.16515250488995,0.972373902625845,0.233454573748324,1,0.00143810816641125,1,0
9,1.42869988099252,13.9922069049634,-12.5635070239708,-2.48421474550197e-05,-2.67475863236884e-05,-0.0118875928070675,3.65043239126559e-05,-0.206329576923839,0.244049620051531,0.060807977037746,4.01344744456865,0.97030378020025,0.241763170840408,1,0.00129384187870938,1,0
9.25,1.25279652440524,14.5076787184385,-13.2548821940333,2.39038785968425e-05,4.01349997615713e-05,-0.0114060450923038,4.6714169347575e-05,-0.254936746849546,0.230520325252548,0.0596576548181016,3.86405275157753,0.968137979904817,0.250549886905547,1,0.00186402101666409,1,0
9.5,1.08864505381546,15.0494722295534,-13.960827175738,-4.21898165232729e-05,4.06179097136124e-05,-0.0108949667348361,5.85644534489189e-05,-0.290652044311593,0.217987892333436,0.058623192390753,3.71845823203277,0.965659798269522,0.259693598263608,1,0.00165574481500765,1,0
9.75,0.939331827362745,15.6159877684273,-14.6766559410645,-2.02705226309694e-05,5.17889976998016e-05,-0.0103759823423917,5.5614695634182e-05,-0.330816416360496,0.206396724510092,0.0577014014432384,3.57697940340543,0.963067219607331,0.269240359251287,1,0.00150128322445506,1,0
10,0.800433922976967,16.2085404746486,-15.4081065516716,-2.25931632678364e-05,-1.19851710197463e-05,-0.00987571292784962,2.55752878931925e-05,-0.363374928541212,0.195627756131015,0.056865636163856,3.44017528560345,0.960229495598074,0.279122258571089,1,0.00136904964907786,1,0
